regulation_project_id;Срок, в течение которого разработчиком принимались предложения в связи проведением публичного обсуждения проекта акта
7208;17.08.2015
7208;30.09.2015
7243; 
7243;[o_13_2_2]
7258;[o_19_2_1]
7258;[o_19_2_2]
7462;[o_19_2_1]
7462;[o_19_2_2]
7742;13 октября 2014 г.
7742;27 октября 2014 г.
7981;[o_ | 20 | _2_1]
7981;[o_ | 20 | _2_2]
8475;[o_19_2_1]
8475;[o_19_2_2]
10140;[o_19_2_1]
10140;[o_19_2_2]
10805;21.10.2013
10805;20.11.2013
11195;31 мая 2016 года
11195;9 июня 2016 года
11203;[o_13_2_1]
11203;[o_13_2_2]
11760; 
11760; 
12524;[o_19_2_1]
12524;[o_19_2_2]
12545;-
12545; 
12558; 
12558; 
12902; 
12902; 
13374; 
13374; 
13559;[o_19_2_1]
13559;[o_19_2_2]
13963;[o_13_2_1]
13963;[o_13_2_2]
14026;[o_19_2_1]
14026;[o_19_2_2]
14200;[o_13_2_1]
14200;[o_13_2_2]
14309;-
14309;-
14383;-
14383; 
14725; 
14725; 
14748;[o_19_2_1]
14748;[o_19_2_2]
15099;[o_19_2_1]
15099;[o_19_2_2]
15247;[o_ | 20 | _2_1]
15247;[o_ | 20 | _2_2]
15379;[o_19_2_1]
15379;[o_19_2_2]
17151;16 февраля 2018 г.____17 мая 2016 г.____27 июня 2014 г.
17151;26 февраля 2018 г.____14 июня 2016 г. ____26 августа 2014 г.
17464;[o_ | 20 | _2_1]
17464;[o_ | 20 | _2_2]
17555; 
17555; 
17984;[o_19_2_1]
17984;[o_19_2_2]
18013;[o_19_2_1]
18013;[o_19_2_2]
18162;13.05.2016
18162;13.06.2016
18209;[o_19_2_1]
18209;[o_19_2_2]
18230; 
18230; 
18247;16.03.2015
18247;31.03.2015
18484;[o_ | 20 | _2_1]
18484;[o_ | 20 | _2_2]
18716; 
18716; 
18796;23.04.2014
18796;23.05.2014
18827;[o_ | 20 | _2_1]
18827;[o_ | 20 | _2_2]
18839;[o_13_2_1]
18839;[o_13_2_2]
18888;[o_ | 20 | _2_1]
18888;[o_ | 20 | _2_2]
18988;[o_13_2_1]
18988;[o_13_2_2]
19058; 
19058; 
19215;03.08.2015
19215;30.08.2015
19244;[o_19_2_1]
19244;[o_19_2_2]
19359; 
19359; 
19402; 
19402; 
19939; 
19939; 
20039;02.09.2015
20039;03.10.2016
20202;[o_13_2_1]
20202;[o_13_2_2]
20252;24 апреля 2015 г.
20252;24 мая 2015 г.
20290;Не проводилось
20290;Не проводилось
20292; 
20292; 
20305;[o_ | 20 | _2_1]
20305;[o_ | 20 | _2_2]
20311;[o_19_2_1]
20311;[o_19_2_2]
20623; 
20623; 
20724; 
20724; 
20731;-
20731; 
20755; 
20755; 
20782;[o_ | 20 | _2_1]
20782;[o_ | 20 | _2_2]
20840; 
20840; 
20947; 
20947; 
21034; 
21034; 
21068;[o_19_2_1]
21068;[o_19_2_2]
21086;[o_19_2_1]
21086;[o_19_2_2]
21134;[o_13_2_1]
21134;[o_13_2_2]
21309;17 февраля 2016 года
21309;25 апреля 2016 года
21346; 
21346; 
21367; 
21367; 
21379;18 ноября 2015 г.
21379;15 декабря 2015 г.
21405; 
21405; 
21463; 
21463; 
21576;18 мая 2016 г.
21576;1 июля 2016 г.
21582;09.08.2015
21582;07.08.2015
21712;8 мая 2015
21712;8 июля 2015
21750;14 июля 2015 
21750;14 августа 2015
21878;[o_13_2_1]
21878;[o_13_2_2]
21926; 
21926; 
21997;01.07.2015
21997;30.07.2015
22155;[o_19_2_1]
22155;[o_19_2_2]
22769; 
22769; 
22817;15.07.2015
22817; 
22904; 
22904; 
22928;Отсутствуют
22928; 
22979; 
22979; 
23097;28.07.2015
23097;06.08.2015
23140;16 июля 2015 года
23140;14 августа 2015 года
23328; 
23328; 
23354;08.07.2015
23354; 
23413;-
23413;-
23429;08.10.2015
23429; 
23448;-
23448; 
23513;нет
23513; 
23591; 
23591; 
23810;[o_19_2_1]
23810;[o_19_2_2]
