regulation_project_id;Срок, в течение которого разработчиком принимались предложения в связи проведением публичного обсуждения проекта акта
23851;[o_13_2_1]
23851;[o_13_2_2]
24504;24 июля 2015 года
24504;6 августа 2015 года
24662; 
24662; 
24744;-
24744;-
24979; 
24979; 
25005; 
25005; 
25029; 
25029; 
25193; 
25193; 
25223; 
25223; 
25226;-
25226;-
25259;[o_19_2_1]
25259;[o_19_2_2]
25289; 
25289; 
25359;[o_13_2_1]
25359;[o_13_2_2]
25400;[o_13_2_1]
25400;[o_13_2_2]
25489;[o_13_2_1]
25489;[o_13_2_2]
25518; 
25518; 
25530; 
25530; 
25532; 
25532; 
25553; 
25553; 
25575; 
25575; 
25620; 
25620; 
25691;будет заполнено после проведения обсуждений
25691;будет заполнено после проведения обсуждений
25711; 
25711; 
25874; 
25874; 
25916;[o_ | 20 | _2_1]
25916;[o_ | 20 | _2_2]
25940;[o_ | 20 | _2_1]
25940;[o_ | 20 | _2_2]
25983;29 октября 2015 года
25983;28 декабря 2015 года 
26060;30 июня 2015 г.
26060;28 августа 2015 г.
26073;-
26073; 
26182;[o_13_2_1]
26182;[o_13_2_2]
26227;20 февраля 2015 года 
26227;07 марта 2015 года 
26241;[o_19_2_1]
26241;[o_19_2_2]
26275;[o_19_2_1]
26275;[o_19_2_2]
26324;-
26324;-
26384; 
26384; 
26469; 
26469; 
26487; 
26487; 
26565;[o_ | 20 | _2_1]
26565;[o_ | 20 | _2_2]
26661;[o_19_2_1]
26661;[o_19_2_2]
26694;14.07.2015
26694; 
26710;22 июля 2015 г.
26710; 
26785; 
26785; 
26822; 
26822; 
26992; 
26992; 
27123;17.07.2015
27123;14.09.2015
27167; 
27167; 
27292;-
27292; 
27343;17.07.2015 г.
27343;14.09.2015 г.
27497;[o_19_2_1]
27497;[o_19_2_2]
27499;25.08.2015
27499;8.09.2015
27529; 
27529; 
27689; 
27689; 
27752;07.07.2015
27752;06.08.2015
27764; 
27764; 
27823; 
27823; 
27958;17.07.2015
27958; 
28004;21.09.2015
28004;23.11.2015
28037; 
28037; 
28088;22.07.15
28088; 
28180;08.07.2015
28180;07.08.2015
28203;-
28203; 
28264; 
28264; 
28742;30.07.2015
28742; 
28846; 
28846; 
28872;30 июля 2015 года
28872; 
28918; 
28918; 
28933;10 августа 2015 г.
28933;10 сентября 2015 г.
28945;[o_13_2_1]
28945;[o_13_2_2]
28952;29 июля 2015 г.
28952; 
28968;28.07.2015
28968; 
28972;[o_19_2_1]
28972;[o_19_2_2]
28998;28.07.2015
28998; 
29007; 
29007; 
29023;22.07.2015
29023; 
29033; 
29033; 
29041; 
29041; 
29052; 
29052; 
29169;[o_19_2_1]
29169;[o_19_2_2]
29240;-
29240; 
29300;15 июля 2015 г
29300; 
29321;27 января 2016
29321;12 февраля 2016
29330;20.07.2015
29330; 
29341; 
29341; 
29357;-
29357; 
29436;-
29436;-
29451;-
29451;-
29463;30 июля 2015 года
29463; 
29469; 
29469; 
29484;Нет
29484; 
29499;13.07.2015
29499;28.07.2015
29548;8 июля 2015 г.
29548;9 сентября 2015 г.
29568; 
29568; 
29667; 
29667; 
29749;24.07.2015
29749; 
29750;8 b.kz 2015 u/
29750; 
29787;[o_ | 20 | _2_1]
29787;[o_ | 20 | _2_2]
29798; 
29798; 
29801;9 июля 2015 г.
29801;5 августа 2015 г.
29999; 
29999; 
30021;22 июля 2015 г.
30021; 
32063;17 июля 2015
32063;31 июля 2015
34120;11.11.2015
34120;17.11.2015
34151;-
34151; 
34154;публичного обсуждения проекта акта не было
34154; 
34156;15.07.2015 г.
34156; 
34157;-
34157; 
34162;22 июля 2015 г.
34162;5 августа 2015 г.
34173;28 июля 2015 г.
34173;11 августа 2015 г.
34199;20.07.2015
34199;03.08.2015
34226;Даныые будут предоставлены по результатам общественного обсуждения проекта акта
34226; 
34243;и
34243; 
34246; 
34246; 
34259; 
34259; 
34282;[o_19_2_1]
34282;[o_19_2_2]
34316; 
34316; 
34356;-
34356; 
34358;13.07.2015
34358; 
34366;.
34366;.
34382; 
34382; 
34390; 
34390; 
34395;[o_13_2_1]
34395;[o_13_2_2]
34415; 
34415; 
34443;-
34443; 
34460; 
34460; 
34474;13 июля 2015 г.
34474;28 июля 2015 г. 
34490; 
34490; 
34513;29 июля 2015 г.
34513;28 августа 2015 г.
34550; 
34550; 
34583; 
34583; 
34590;07.07.2015
34590; 
34597; 
34597; 
34598; 
34598; 
34606;-
34606; 
34609;-
34609; 
34627;16.07.2015
34627; 
34647; 
34647; 
34649;3 августа 2015 г.
34649;2 октября 2015 г.
34718;30.12.2014
34718;15.01.2015
35025;20 июля 2015 г
35025; 
35032;[o_19_2_1]
35032;[o_19_2_2]
35039; 
35039; 
35064;23 июля 2015 года
35064; 
35065;30 июля 2015 года
35065; 
35078;-
35078; 
35087;23/07/2015
35087;06/08/2015
35113;-
35113;-
35122;27.07.2015
35122;24.08.2015
35126;29.07.2015
35126;12.08.2015
35140;30 июля 2015 г 
35140;13 сентября 2015 г.
35143; 
35143; 
35158; 
35158; 
35169; 
35169; 
35172; 
35172; 
35181; 
35181; 
35366;-
35366; 
35568;29.07.2015
35568;17.08.2015
35632;[o_13_2_1]
35632;[o_13_2_2]
35633;24/07/2015
35633;07/08/2015
35635;23/07/2015
35635; 
37020; 
37020; 
37030;24.07.2015
37030;20.08.2015
37033;-
37033; 
37035;-
37035; 
37047;27.07.2015
37047;10.08.2015
37074;10.07.2015
37074; 
37103;29.07.2015
37103;08.07.2015
37127; 
37127; 
37150;Не применимо
37150;Не применимо
37191; 
37191; 
37232;отсутствуют
37232; 
37247; 
37247; 
37270;10 дней
37270; 
37272; 
37272; 
37289; 
37289; 
37298; 
37298; 
37305;6.08.2015
37305; 
37309; 
37309; 
37316;будет заполнено на следующей этапе
37316;будет заполнено на следующей этапе
37319; 
37319; 
37332; 
37332; 
37341; 
37341; 
37343; 
37343; 
37346; 
37346; 
37352; 
37352; 
37353; 
37353; 
37362; 
37362; 
37367;31.08.2015
37367;30.10.2015
37384; 
37384; 
37385; 
37385; 
37407; 
37407; 
37418; 
37418; 
37420;22 сентября 2015 г.
37420;20 октября 2015 г.
37426; 
37426; 
37436; 
37436; 
37450; 
37450; 
37455; 
37455; 
37461; 
37461; 
37471;[o_ | 20 | _2_1]
37471;[o_ | 20 | _2_2]
37486; 
37486; 
37488;11.09.2015
37488;09.11.2015
37495; 
37495; 
37496;22 июля 2015 г
37496;4 августа 2015 г.
37497;30.07.2015
37497;12.08.2015
37498;22 июля2015 г.
37498;4 августа 2015 г.
37535;12.08.2015
37535;14.10.2015
37537;14.08.2015
37537;15.10.2015
37544; 
37544; 
38167; 
38167; 
38171;06.01.2016
38171;08.02.2016
38214;07.09.2015
38214;06.10.2015
38247; 
38247; 
38252; 
38252; 
38253; 
38253; 
38277; 
38277; 
38290;18 августа 2015 г.
38290;31 августа 2015 г.
38295; 
38295; 
38305; 
38305; 
38306; 
38306; 
38315; 
38315; 
38316;24.08.2015
38316;18.09.2015
38323; 
38323; 
38324; 
38324; 
38332; 
38332; 
38348; 
38348; 
38349;12 августа 2015 года
38349;26 августа 2015 года
38359; 
38359; 
38365; 
38365; 
38368; 
38368; 
38380; 
38380; 
38383; 
38383; 
38387; 
38387; 
38396; 
38396; 
38398; 
38398; 
38399; 
38399; 
38430; 
38430; 
38438;3.08.2015 г.
38438;17.08.2015 г.
38458; 
38458; 
38460; 
38460; 
38476; 
38476; 
38481; 
38481; 
38485; 
38485; 
38493; 
38493; 
38495; 
38495; 
38498; 
38498; 
38499; 
38499; 
38600; 
38600; 
38602; 
38602; 
38605; 
38605; 
38607; 
38607; 
38608; 
38608; 
38611; 
38611; 
38623; 
38623; 
38639; 
38639; 
38644;[o_19_2_1]
38644;[o_19_2_2]
38651;07.09.2015
38651;11.11.2015
38654; 
38654; 
38670; 
38670; 
38700;08.09.2015
38700; 
38718; 
38718; 
38734; 
38734; 
38743;20.08.2015
38743;21.10.2015
38747;27.08.2015
38747;28.10.2015
38749;27.08.2015
38749;23.09.2015
38769; 
38769; 
38770; 
38770; 
38771;07.08.2015
38771;28.08.2015
38776;-
38776;-
38783; 
38783; 
38787; 
38787; 
38796;30.11.2015
38796;11.12.2015
38800; 
38800; 
38805;03 июня 2016
38805;06 июля  2016
38806; 
38806; 
38807;03 июня 2016
38807;06 июля 2016
38863;1 | 5 | сентября |  2015 г.
38863;2 | 0 | ноября |  2015 г.
38864; 
38864; 
38876; 
38876; 
38893;[o_ | 20 | _2_1]
38893;[o_ | 20 | _2_2]
38894; 
38894; 
38899; 
38899; 
38906; 
38906; 
38909; 
38909; 
38920; 
38920; 
38924; 
38924; 
38932; 
38932; 
38942; 
38942; 
38944; 
38944; 
38946; 
38946; 
38954; 
38954; 
38962;21 сентября 2015 г.
38962;2 октября 2015 г.
38963; 
38963; 
38969; 
38969; 
38976; 
38976; 
38981; 
38981; 
38998; 
38998; 
38999;[o_13_2_1]
38999;[o_13_2_2]
39010; 
39010; 
39024; 
39024; 
39026; 
39026; 
39037; 
39037; 
39038; 
39038; 
39039; 
39039; 
39040; 
39040; 
39041; 
39041; 
39044; 
39044; 
39063; 
39063; 
39075; 
39075; 
39080; 
39080; 
39081; 
39081; 
39088; 
39088; 
39134;[o_13_2_1]
39134;[o_13_2_2]
39159; 
39159; 
39166; 
39166; 
39175; 
39175; 
39176; 
39176; 
39178; 
39178; 
39187; 
39187; 
39201;11.09.2015
39201;25.10.2015
39219; 
39219; 
39220; 
39220; 
39226; 
39226; 
39228; 
39228; 
39236; 
39236; 
39238; 
39238; 
39239; 
39239; 
39264; 
39264; 
39276; 
39276; 
39290;12.01.2016
39290;08.02.2015
39295; 
39295; 
39307; 
39307; 
39319; 
39319; 
39320; 
39320; 
39329; 
39329; 
39333; 
39333; 
39339; 
39339; 
39357; 
39357; 
39372; 
39372; 
39381; 
39381; 
39439; 
39439; 
39442; 
39442; 
39447;02.11.2015
39447;12.11.2015
39456; 
39456; 
39464; 
39464; 
39470; 
39470; 
39475; 
39475; 
39480;[o_ | 20 | _2_1]
39480;[o_ | 20 | _2_2]
39485; 
39485; 
39492; 
39492; 
39496; 
39496; 
39498; 
39498; 
39505;11.09.2015
39505;16.09.2015
39531; 
39531; 
39533;[o_13_2_1]
39533;[o_13_2_2]
39534; 
39534; 
39536; 
39536; 
39557; 
39557; 
39561; 
39561; 
39575; 
39575; 
39576; 
39576; 
39577; 
39577; 
39580; 
39580; 
39581; 
39581; 
39584; 
39584; 
39585; 
39585; 
39587; 
39587; 
39597; 
39597; 
39621;-
39621;-
39625; 
39625; 
39632; 
39632; 
39642;[o_19_2_1]
39642;[o_19_2_2]
39670; 
39670; 
39680; 
39680; 
39719; 
39719; 
39724; 
39724; 
39726; 
39726; 
39729;2 октября 2015 г.
39729;30 октября 2015 г.
39732; 
39732; 
39734; 
39734; 
39736; 
39736; 
39738; 
39738; 
39744;4 сентября 2015 г.
39744;24 сентября 2015 г.
39753; 
39753; 
39757; 
39757; 
39760; 
39760; 
39766;7.09.2015
39766;8.09.2015
39778; 
39778; 
39780; 
39780; 
39785; 
39785; 
39786; 
39786; 
39787; 
39787; 
39789; 
39789; 
39790; 
39790; 
39792; 
39792; 
39793; 
39793; 
39797; 
39797; 
39798; 
39798; 
39799; 
39799; 
39800; 
39800; 
39801; 
39801; 
39802; 
39802; 
39803; 
39803; 
39817; 
39817; 
39836; 
39836; 
39837; 
39837; 
39845; 
39845; 
39851; 
39851; 
39864;[o_19_2_1]
39864;[o_19_2_2]
39873; 
39873; 
39889; 
39889; 
39911; 
39911; 
39915; 
39915; 
39916; 
39916; 
39919; 
39919; 
39920; 
39920; 
39921; 
39921; 
39930; 
39930; 
39932; 
39932; 
39946; 
39946; 
39987; 
39987; 
39998;[o_13_2_1]
39998;[o_13_2_2]
40012; 
40012; 
40017; 
40017; 
40031; 
40031; 
40033; 
40033; 
40036;[o_ | 20 | _2_1]
40036;[o_ | 20 | _2_2]
40058; 
40058; 
40098;[o_19_2_1]
40098;[o_19_2_2]
40100; 
40100; 
40107; 
40107; 
40118; 
40118; 
40124;16 октября 2015
40124;29 октября 2015
40134; 
40134; 
40136; 
40136; 
40153; 
40153; 
40158; 
40158; 
40160;-
40160;-
40165; 
40165; 
40171; 
40171; 
40187; 
40187; 
40190; 
40190; 
40204; 
40204; 
40218; 
40218; 
40251;[o_13_2_1]
40251;[o_13_2_2]
40257; 
40257; 
40265; 
40265; 
40274; 
40274; 
40293;16 октября 2015 г.
40293;12 ноября 2015 г.
40309; 
40309; 
40313;будет заполнено на слуюующем этапе
40313;будет заполнено на слуюующем этапе
40331; 
40331; 
40336; 
40336; 
40342; 
40342; 
40355;[o_13_2_1]
40355;[o_13_2_2]
40357; 
40357; 
40370; 
40370; 
40374; 
40374; 
40375;[o_19_2_1]
40375;[o_19_2_2]
40403;[o_13_2_1]
40403;[o_13_2_2]
40408;18 января 2016 года
40408;29 января 2016 года
40411;14.10.2015
40411;11.11.2015
40412;[o_13_2_1]
40412;[o_13_2_2]
40415; 
40415; 
40417; 
40417; 
40427;13 октября 2015 г.
40427;11 ноября 2015 г.
40428; 
40428; 
40429; 
40429; 
40447; 
40447; 
40452; 
40452; 
40473; 
40473; 
40496;[o_19_2_1]
40496;[o_19_2_2]
40502; 
40502; 
40543;1 февраля 2016 г.
40543;11 февраля 2016 г.
40548;15 января 2016 г.
40548;3 февраля 2016 г.
40553; 
40553; 
40556; 
40556; 
40563; 
40563; 
40572;20 октября 2015 г.
40572;2 ноября 2015 г.
40582;23.10.2015
40582;20.11.2015
40597;[o_19_2_1]
40597;[o_19_2_2]
40607;[o_19_2_1]
40607;[o_19_2_2]
40634;06.10.2015
40634;19.10.2015
40646; 
40646; 
40662; 
40662; 
40663; 
40663; 
40673; 
40673; 
40676; 
40676; 
40678; 
40678; 
40690; 
40690; 
40694; 
40694; 
40717; 
40717; 
40739; 
40739; 
40743;16.09.2016
40743;26.09.2016
40754; 
40754; 
40760; 
40760; 
40804; 
40804; 
40805; 
40805; 
40807; 
40807; 
40810;[o_19_2_1]
40810;[o_19_2_2]
40812; 
40812; 
40818; 
40818; 
40831;[o_19_2_1]
40831;[o_19_2_2]
40848; 
40848; 
40852; 
40852; 
40854;14.12.2015
40854;14.01.2016
40860;09.12.2015
40860;29.12.2015
40871; 
40871; 
40872; 
40872; 
40881; 
40881; 
40884;[o_ | 20 | _2_1]
40884;[o_ | 20 | _2_2]
40885; 
40885; 
40886; 
40886; 
40898; 
40898; 
40901; 
40901; 
40902; 
40902; 
40907; 
40907; 
40917; 
40917; 
40935; 
40935; 
40944; 
40944; 
40947; 
40947; 
40949;[o_ | 20 | _2_1]
40949;[o_ | 20 | _2_2]
40957; 
40957; 
40960;10 ноября
40960; 
40973; 
40973; 
40975; 
40975; 
40989; 
40989; 
40996; 
40996; 
40997; 
40997; 
41006; 
41006; 
41010; 
41010; 
41045;-
41045;-
41062;[o_13_2_1]
41062;[o_13_2_2]
41064; 
41064; 
41072; 
41072; 
41073; 
41073; 
41076; 
41076; 
41077; 
41077; 
41096; 
41096; 
41109; 
41109; 
41115;12.11.2015
41115;23.11.2015
41122;11.11.2015
41122;23.11.2015
41140;"«20»   ноября     2015 г.;"
41140;«31»  декабря  2015 
41147; 
41147; 
41156; 
41156; 
41216;[o_19_2_1]
41216;[o_19_2_2]
41227;[o_ | 20 | _2_1]
41227;[o_ | 20 | _2_2]
41233; 
41233; 
41254;[o_ | 20 | _2_1]
41254;[o_ | 20 | _2_2]
41257; 
41257; 
41260; 
41260; 
41303;27.11.2015
41303;25.12.2015
41336; 
41336; 
41337;26.10.2015
41337;09.11.2015
41342;[o_13_2_1]
41342;[o_13_2_2]
41361; 
41361; 
41364; 
41364; 
41368; 
41368; 
41370; 
41370; 
41378;[o_19_2_1]
41378;[o_19_2_2]
41385; 
41385; 
41396; 
41396; 
41400; 
41400; 
41403; 
41403; 
41408; 
41408; 
41434;11 декабря 2015 г.
41434;18 января 2015 г.
41436; 
41436; 
41469; 
41469; 
41492; 
41492; 
41496; 
41496; 
41508; 
41508; 
41562;29/10/2015
41562;20/11/2015
41579; 
41579; 
41584; 
41584; 
41640; 
41640; 
41650; 
41650; 
41672; 
41672; 
41686; 
41686; 
41688; 
41688; 
41689;20.11.2015
41689;17.12.2015
41690; 
41690; 
41693; 
41693; 
41751; 
41751; 
41774; 
41774; 
41786; 
41786; 
41820; 
41820; 
41826; 
41826; 
41830; 
41830; 
41856; 
41856; 
41858; 
41858; 
41900; 
41900; 
41918; 
41918; 
41919; 
41919; 
41934;21.12.2015
41934;20.01.2016
41935; 
41935; 
41936; 
41936; 
41950;[o_19_2_1]
41950;[o_19_2_2]
41999; 
41999; 
42037; 
42037; 
42049; 
42049; 
42061; 
42061; 
42067;[o_13_2_1]
42067;[o_13_2_2]
42073; 
42073; 
42108; 
42108; 
42111; 
42111; 
42117; 
42117; 
42120; 
42120; 
42131; 
42131; 
42135; 
42135; 
42156;[o_19_2_1]
42156;[o_19_2_2]
42159; 
42159; 
42173;[o_ | 20 | _2_1]
42173;[o_ | 20 | _2_2]
42209; 
42209; 
42213; 
42213; 
42218;[o_19_2_1]
42218;[o_19_2_2]
42219; 
42219; 
42222; 
42222; 
42224; 
42224; 
42226; 
42226; 
42247;01.12.2015
42247;28.12.2015
42254; 
42254; 
42256;[o_13_2_1]
42256;[o_13_2_2]
42259;[o_13_2_1]
42259;[o_13_2_2]
42265; 
42265; 
42267; 
42267; 
42269; 
42269; 
42282;[o_13_2_1]
42282;[o_13_2_2]
42285; 
42285; 
42286; 
42286; 
42309;[o_ | 20 | _2_1]
42309;[o_ | 20 | _2_2]
42310;[o_ | 20 | _2_1]
42310;[o_ | 20 | _2_2]
42342;[o_19_2_1]
42342;[o_19_2_2]
42392; 
42392; 
42397; 
42397; 
42415; 
42415; 
42416; 
42416; 
42462; 
42462; 
42466; 
42466; 
42483; 
42483; 
42497;[o_13_2_1]
42497;[o_13_2_2]
42521; 
42521; 
42533;[o_19_2_1]
42533;[o_19_2_2]
42551; 
42551; 
42562;[o_19_2_1]
42562;[o_19_2_2]
42582;7 июля 2016 г.
42582;20 июля 2016 г.
42631; 
42631; 
42660; 
42660; 
42737;[o_19_2_1]
42737;[o_19_2_2]
42754;[o_19_2_1]
42754;[o_19_2_2]
42814; 
42814; 
42817;[o_19_2_1]
42817;[o_19_2_2]
42825; 
42825; 
42835;[o_ | 20 | _2_1]
42835;[o_ | 20 | _2_2]
42841; 
42841; 
42848;[o_19_2_1]
42848;[o_19_2_2]
42849;[o_19_2_1]
42849;[o_19_2_2]
42859; 
42859; 
42875;[o_ | 20 | _2_1]
42875;[o_ | 20 | _2_2]
42885; 
42885; 
42891;[o_19_2_1]
42891;[o_19_2_2]
42906;[o_19_2_1]
42906;[o_19_2_2]
42910; 
42910; 
42912;[o_ | 20 | _2_1]
42912;[o_ | 20 | _2_2]
42915; 
42915; 
42923; 
42923; 
42924;14.12.2015
42924;25.12.2015
42926; 
42926; 
42942; 
42942; 
42973;21 января 2016 года
42973;3 февраля 2016 года
42987;[o_13_2_1]
42987;[o_13_2_2]
43007; 
43007; 
43032;[o_ | 20 | _2_1]
43032;[o_ | 20 | _2_2]
43066;[o_ | 20 | _2_1]
43066;[o_ | 20 | _2_2]
43071;[o_19_2_1]
43071;[o_19_2_2]
43095;[o_13_2_1]
43095;[o_13_2_2]
43096;[o_13_2_1]
43096;[o_13_2_2]
43098; 
43098; 
43126; 
43126; 
44211;[o_19_2_1]
44211;[o_19_2_2]
44231;публичное обсуждение проекта акта в настоящее время не проведено
44231;публичное обсуждение проекта акта в настоящее время не проведено
44235;[o_19_2_1]
44235;[o_19_2_2]
44236;30 декабря 2015 г.
44236;3 февраля 2016 г.
44241; 
44241; 
44250;[o_ | 20 | _2_1]
44250;[o_ | 20 | _2_2]
44252; 
44252; 
44282;17.11.2016
44282;15.12.2016
44299;[o_19_2_1]
44299;[o_19_2_2]
44312;[o_13_2_1]
44312;[o_13_2_2]
44315;19 ноября 2015г.
44315;04 декабря 2015г.
44321;-
44321;-
44350;[o_13_2_1]
44350;[o_13_2_2]
44359;[o_19_2_1]
44359;[o_19_2_2]
44363; 
44363; 
44382; 
44382; 
44408;[o_19_2_1]
44408;[o_19_2_2]
44455; 
44455; 
44461; 
44461; 
44479; 
44479; 
44521;[o_19_2_1]
44521;[o_19_2_2]
44528;[o_19_2_1]
44528;[o_19_2_2]
44540;[o_13_2_1]
44540;[o_13_2_2]
44545; 
44545; 
44555;[o_19_2_1]
44555;[o_19_2_2]
44568;[o_19_2_1]
44568;[o_19_2_2]
44570; 
44570; 
44586;[o_13_2_1]
44586;[o_13_2_2]
44627;[o_19_2_1]
44627;[o_19_2_2]
44632;[o_19_2_1]
44632;[o_19_2_2]
44635;[o_ | 20 | _2_1]
44635;[o_ | 20 | _2_2]
44642;[o_19_2_1]
44642;[o_19_2_2]
44647;[o_19_2_1]
44647;[o_19_2_2]
44666; 19.03.2015 г. 
44666;3.04.2015 г.
44667;[o_ | 20 | _2_1]
44667;[o_ | 20 | _2_2]
44682;[o_19_2_1]
44682;[o_19_2_2]
44684;[o_19_2_1]
44684;[o_19_2_2]
44687;[o_19_2_1]
44687;[o_19_2_2]
44694;[o_13_2_1]
44694;[o_13_2_2]
44695; 
44695; 
44698;[o_19_2_1]
44698;[o_19_2_2]
44699;[o_19_2_1]
44699;[o_19_2_2]
44713;[o_19_2_1]
44713;[o_19_2_2]
44734;[o_19_2_1]
44734;[o_19_2_2]
44738;[o_19_2_1]
44738;[o_19_2_2]
44741;[o_ | 20 | _2_1]
44741;[o_ | 20 | _2_2]
44756;[o_19_2_1]
44756;[o_19_2_2]
44757;[o_19_2_1]
44757;[o_19_2_2]
44770;[o_19_2_1]
44770;[o_19_2_2]
44772;[o_19_2_1]
44772;[o_19_2_2]
44773;[o_19_2_1]
44773;[o_19_2_2]
44799;[o_ | 20 | _2_1]
44799;[o_ | 20 | _2_2]
44803;[o_19_2_1]
44803;[o_19_2_2]
44843;[o_19_2_1]
44843;[o_19_2_2]
44871;[o_13_2_1]
44871;[o_13_2_2]
44881;[o_ | 20 | _2_1]
44881;[o_ | 20 | _2_2]
44889;[o_19_2_1]
44889;[o_19_2_2]
44893;[o_19_2_1]
44893;[o_19_2_2]
44894;27 января 2016
44894;12 февраля 2016
44897;26 января 2016 г.
44897;[o_13_2_2]
44904;[o_19_2_1]
44904;[o_19_2_2]
44906;[o_19_2_1]
44906;[o_19_2_2]
44907;[o_19_2_1]
44907;[o_19_2_2]
44908;[o_13_2_1]
44908;[o_13_2_2]
44910;-
44910;-
44935;[o_ | 20 | _2_1]
44935;[o_ | 20 | _2_2]
44936;[o_13_2_1]
44936;[o_13_2_2]
44938;[o_19_2_1]
44938;[o_19_2_2]
44940;[o_13_2_1]
44940;[o_13_2_2]
44942;[o_ | 20 | _2_1]
44942;[o_ | 20 | _2_2]
44943;[o_ | 20 | _2_1]
44943;[o_ | 20 | _2_2]
44945;[o_ | 20 | _2_1]
44945;[o_ | 20 | _2_2]
44946;[o_ | 20 | _2_1]
44946;[o_ | 20 | _2_2]
44949;[o_19_2_1]
44949;[o_19_2_2]
44961;[o_19_2_1]
44961;[o_19_2_2]
44963;-
44963;-
44971;29 января 2016 г.
44971;29 февраля 2016 г.
44976;22 января 2016 г.
44976;19 февраля 2016 г.
44999;[o_13_2_1]
44999;[o_13_2_2]
45018;[o_13_2_1]
45018;[o_13_2_2]
45019;« 25 »  марта  2016 г
45019;« 21 »  апреля  2016 г.
45031;30.12.2015
45031;20.01.2016
45059;-
45059;-
45067;[o_ | 20 | _2_1]
45067;[o_ | 20 | _2_2]
45070;[o_13_2_1]
45070;[o_13_2_2]
45076;[o_19_2_1]
