regulation_project_id;Оценка структуры регулируемых субъектов по категориям;Количественная (интервальная) оценка;Удельный вес(%)
52754;Микропредприятия;не повлияет;не повлияет
52754;Средние предприятия;не повлияет;не повлияет
53389;Крупные предприятия; ; 
53389;Малые предприятия; ; 
53389;Микропредприятия; ; 
53389;Средние предприятия; ; 
55324;Крупные предприятия;отсутствует;отсутствует
55324;Малые предприятия;отсутствует;отсутствует
55324;Микропредприятия;отсутствует;отсутствует
55324;Средние предприятия;отсутствует;отсутствует
59783;Крупные предприятия; ; 
59783;Малые предприятия; ; 
59783;Микропредприятия; ; 
59783;Средние предприятия; ; 
61009;Крупные предприятия;отсуствуют;0
61009;Малые предприятия;организации импортеры (I кв. 2017 г.), 59 шт.;30
61009;Микропредприятия;крестьянские (фермерские) хозяйства (I кв. 2017 г.), 2 шт.;0
61009;Средние предприятия;организации изготовители (I кв. 2017 г.), 147 шт.;70
61635;Крупные предприятия;-;-
61635;Малые предприятия;-;-
61635;Микропредприятия;-;-
61635;Средние предприятия;-;-
61890;Крупные предприятия; ;0
61890;Малые предприятия; ;0
61890;Микропредприятия; ;0
61890;Средние предприятия;47000;100
62214;Крупные предприятия;нет данных;нет данных
62214;Малые предприятия;нет данных;нет данных
62214;Микропредприятия;нет данных;нет данных
62214;Средние предприятия;нет данных;нет данных
62515;Крупные предприятия;нет;нет
62515;Малые предприятия;нет;нет
62515;Микропредприятия;нет;нет
62515;Средние предприятия;нет;нет
62518;Крупные предприятия;нет;нет
62518;Малые предприятия;нет;нет
62518;Микропредприятия;нет;нет
62518;Средние предприятия;нет;нет
62668;Крупные предприятия;нет;-
62668;Малые предприятия;нет;-
62668;Микропредприятия;нет;-
62668;Средние предприятия;нет;-
62982;Крупные предприятия;нет;нет
62982;Малые предприятия;нет;нет
62982;Микропредприятия;нет;нет
62982;Средние предприятия;нет;нет
63244;Крупные предприятия;Отсутствует;Отсутствует
63244;Малые предприятия;Отсутствует;Отсутствует
63244;Микропредприятия;Отсутствует;Отсутствует
63244;Средние предприятия;Отсутствует;Отсутствует
63261;Крупные предприятия;информация уточняется;информация уточняется
63261;Малые предприятия;информация уточняется;информация уточняется
63261;Микропредприятия;информация уточняется;информация уточняется
63261;Средние предприятия;информация уточняется;информация уточняется
63265;Крупные предприятия;информация уточняется;информация уточняется
63265;Малые предприятия;информация уточняется;информация уточняется
63265;Микропредприятия;информация уточняется;информация уточняется
63265;Средние предприятия;информация уточняется;информация уточняется
63540;Крупные предприятия;Отсутствуют;Отсутствуют
63540;Малые предприятия;Отсутствуют;Отсутствуют
63540;Микропредприятия;Отсутствуют;Отсутствуют
63540;Средние предприятия;Отсутствуют;Отсутствуют
63639;Крупные предприятия;-;-
63639;Малые предприятия;-;-
63639;Микропредприятия;-;-
63639;Средние предприятия;-;-
63710;Крупные предприятия;____________________________________________;____________________________________________________
63710;Малые предприятия;___________________________________________;____________________________________________________
63710;Микропредприятия;___________________________________________;___________________________________________________
63710;Средние предприятия;___________________________________________;____________________________________________________
63800;Крупные предприятия;-;-
63800;Малые предприятия;-;-
63800;Микропредприятия;-;-
63800;Средние предприятия;-;-
64001;Крупные предприятия;-;-
64001;Малые предприятия;-;-
64001;Микропредприятия;-;-
64001;Средние предприятия;-;-
64031;Крупные предприятия;-;-
64031;Малые предприятия;-;-
64031;Микропредприятия;-;-
64031;Средние предприятия;-;-
64124;Крупные предприятия;нет;-
64124;Малые предприятия;нет;-
64124;Микропредприятия;нет;-
64124;Средние предприятия;нет;-
64133;Крупные предприятия;нет;-
64133;Малые предприятия;нет;-
64133;Микропредприятия;нет;-
64133;Средние предприятия;нет;-
64136;Крупные предприятия;Информация уточняется;Информация уточняется
64136;Малые предприятия;Информация уточняется;Информация уточняется
64136;Микропредприятия;Информация уточняется;Информация уточняется
64136;Средние предприятия;Информация уточняется;Информация уточняется
64363;Крупные предприятия;-;-
64363;Малые предприятия;-;-
64363;Микропредприятия;-;-
64363;Средние предприятия;-;-
64413;Крупные предприятия;-;-
64413;Малые предприятия;-;-
64413;Микропредприятия;-;-
64413;Средние предприятия;-;-
64502;Крупные предприятия;-;-
64502;Малые предприятия;-;-
64502;Микропредприятия;-;-
64502;Средние предприятия;-;-
64514;Крупные предприятия;нет;нет
64514;Малые предприятия;нет;нет
64514;Микропредприятия;нет;нет
64514;Средние предприятия;нет;нет
64555;Крупные предприятия;Информация уточняется;Информация уточняется
64555;Малые предприятия;Информация уточняется;Информация уточняется
64555;Микропредприятия;Информация уточняется;Информация уточняется
64555;Средние предприятия;Информация уточняется;Информация уточняется
64599;Крупные предприятия;-;-
64599;Малые предприятия;-;-
64599;Микропредприятия;-;-
64599;Средние предприятия;-;-
64604;Крупные предприятия;-;-
64604;Малые предприятия;-;-
64604;Микропредприятия;-;-
64604;Средние предприятия;-;-
64613;Крупные предприятия;Информация уточняется;Информация уточняется
64613;Малые предприятия;Информация уточняется;Информация уточняется
64613;Микропредприятия;Информация уточняется;Информация уточняется
64613;Средние предприятия;Информация уточняется;Информация уточняется
65854;Крупные предприятия;Информация уточняется.;Информация уточняется.
65854;Малые предприятия;Информация уточняется.;Информация уточняется.
65854;Микропредприятия;Информация уточняется.;Информация уточняется.
65854;Средние предприятия;Информация уточняется.;Информация уточняется.
66048;Крупные предприятия;Отсутствует;Отсутствует
66048;Малые предприятия;Отсутствует;Отсутствует
66048;Микропредприятия;Отсутствует;Отсутствует
66048;Средние предприятия;Отсутствует;Отсутствует
66675;Крупные предприятия;Отсутствует;Отсутствует
66675;Малые предприятия;Отсутствует;Отсутствует
66675;Микропредприятия;Отсутствует;Отсутствует
66675;Средние предприятия;Отсутствует;Отсутствует
66681;Крупные предприятия;отсутствует;отсутствует
66681;Малые предприятия;отсутствует;отсутствует
66681;Микропредприятия;отсутствует;отсутствует
66681;Средние предприятия;отсутствует;отсутствует
66768;Крупные предприятия;600;30
66768;Малые предприятия;700;35
66768;Микропредприятия;200;10
66768;Средние предприятия;500;25
66959;Крупные предприятия;нет;нет
66959;Малые предприятия;нет;нет
66959;Микропредприятия;нет;нет
66959;Средние предприятия;нет;нет
67043;Крупные предприятия;нет;нет
67043;Малые предприятия;нет;нет
67043;Микропредприятия;нет;нет
67043;Средние предприятия;нет;нет
67056;Крупные предприятия;-;-
67056;Малые предприятия;-;-
67056;Микропредприятия;-;-
67056;Средние предприятия;-;-
67197;Крупные предприятия;-;0
67197;Малые предприятия;-;50
67197;Микропредприятия;-;50
67197;Средние предприятия;-;0
67291;Крупные предприятия;-;-
67291;Малые предприятия;-;-
67291;Микропредприятия;-;-
67291;Средние предприятия;-;-
67580;Крупные предприятия; ; 
67580;Малые предприятия; ; 
67580;Микропредприятия; ; 
67580;Средние предприятия; ; 
67584;Крупные предприятия;более 400;45
67584;Малые предприятия;более 200;20
67584;Микропредприятия;нет;0
67584;Средние предприятия;более 400;35
67633;Крупные предприятия;-;-
67633;Малые предприятия;-;-
67633;Микропредприятия;-;-
67633;Средние предприятия;-;-
67683;Крупные предприятия;0;0
67683;Малые предприятия;0;0
67683;Микропредприятия;0;0
67683;Средние предприятия;0;0
67764;Крупные предприятия;-;-
67764;Малые предприятия;-;-
67764;Микропредприятия;-;-
67764;Средние предприятия;-;-
67967;Крупные предприятия;не имеется;-
67967;Малые предприятия;не имеется;-
67967;Микропредприятия;не имеется;-
67967;Средние предприятия;не имеется;-
67976;Крупные предприятия;-;-
67976;Малые предприятия;-;-
67976;Микропредприятия;-;-
67976;Средние предприятия;-;-
68082;Крупные предприятия;отсутствует;отсутствует
68082;Малые предприятия;отсутствует;отсутствует
68082;Микропредприятия;отсутствует;отсутствует
68082;Средние предприятия;отсутствует;отсутствует
68186;Крупные предприятия;-;-
68186;Малые предприятия;-;-
68186;Микропредприятия;-;-
68186;Средние предприятия;-;-
68227;Крупные предприятия;Информация уточняется;Информация уточняется
68227;Малые предприятия;Информация уточняется;Информация уточняется
68227;Микропредприятия;Информация уточняется;Информация уточняется
68227;Средние предприятия;Информация уточняется;Информация уточняется
68393;Крупные предприятия;отсутствует;отсутствует
68393;Малые предприятия;отсутствует;отсутствует
68393;Микропредприятия;отсутствует;отсутствует
68393;Средние предприятия;отсутствует;отсутствует
68399;Крупные предприятия;-;-
68399;Малые предприятия;-;-
68399;Микропредприятия;-;-
68399;Средние предприятия;-;-
69602;Крупные предприятия;0;0
69602;Малые предприятия;0;0
69602;Микропредприятия;0;0
69602;Средние предприятия;0;0
69666;Крупные предприятия;-;7%
69666;Малые предприятия;-;10%
69666;Микропредприятия;-;0%
69666;Средние предприятия;-;7%
69734;Крупные предприятия;нет.;нет.
69734;Малые предприятия;нет.;нет.
69734;Микропредприятия;нет.;нет.
69734;Средние предприятия;нет.;нет.
69880;Крупные предприятия;-;-
69880;Малые предприятия;-;-
69880;Микропредприятия;-;-
69880;Средние предприятия;-;-
69975;Крупные предприятия;анализ не производился;анализ не производился
69975;Малые предприятия;анализ не производился;анализ не производился
69975;Микропредприятия;анализ не производился;анализ не производился
69975;Средние предприятия;анализ не производился;анализ не производился
69980;Крупные предприятия;анализ не проводился;анализ не проводился
69980;Малые предприятия;анализ не проводился;анализ не проводился
69980;Микропредприятия;анализ не проводился;анализ не проводился
69980;Средние предприятия;анализ не проводился;анализ не проводился
70040;Крупные предприятия;-;-
70040;Малые предприятия;-;-
70040;Микропредприятия;-;-
70040;Средние предприятия;-;-
70133;Крупные предприятия;Информация уточняется;Информация уточняется
70133;Малые предприятия;Информация уточняется;Информация уточняется
70133;Микропредприятия;Информация уточняется;Информация уточняется
70133;Средние предприятия;Информация уточняется;Информация уточняется
70195;Крупные предприятия;-;-
70195;Малые предприятия;-;-
70195;Микропредприятия;-;-
70195;Средние предприятия;-;-
71277;Крупные предприятия;отсутствует;отсутствует
71277;Малые предприятия;отсутствует;отсутствует
71277;Микропредприятия;отсутствует;отсутствует
71277;Средние предприятия;отсутствует;отсутствует
71333;Крупные предприятия;-;-
71333;Малые предприятия;-;-
71333;Микропредприятия;-;-
71333;Средние предприятия;-;-
71422;Крупные предприятия;500;100
71422;Малые предприятия;0;0
71422;Микропредприятия;0;0
71422;Средние предприятия;0;0
71435;Крупные предприятия;-;-
71435;Малые предприятия;-;-
71435;Микропредприятия;-;-
71435;Средние предприятия;-;-
71438;Крупные предприятия;-;-
71438;Малые предприятия;-;-
71438;Микропредприятия;-;-
71438;Средние предприятия;-;-
72508;Крупные предприятия;-;-
72508;Малые предприятия;-;-
72508;Микропредприятия;-;-
72508;Средние предприятия;-;-
72582;Крупные предприятия;-;-
72582;Малые предприятия;-;-
72582;Микропредприятия;-;-
72582;Средние предприятия;-;-
72605;Крупные предприятия;-;-
72605;Малые предприятия;-;-
72605;Микропредприятия;-;-
72605;Средние предприятия;-;-
72615;Крупные предприятия;прорабатывается;прорабатывается
72615;Малые предприятия;прорабатывается;прорабатывается
72615;Микропредприятия;прорабатывается;прорабатывается
72615;Средние предприятия;прорабатывается;прорабатывается
72636;Крупные предприятия;-;-
72636;Малые предприятия;-;-
72636;Микропредприятия;-;-
72636;Средние предприятия;-;-
72654;Крупные предприятия;-;-
72654;Малые предприятия;-;-
72654;Микропредприятия;-;-
72654;Средние предприятия;-;-
72798;Крупные предприятия;-;-
72798;Малые предприятия;-;-
72798;Микропредприятия;-;-
72798;Средние предприятия;-;-
72800;Крупные предприятия;-;-
72800;Малые предприятия;-;-
72800;Микропредприятия;-;-
72800;Средние предприятия;-;-
72801;Крупные предприятия;-;-
72801;Малые предприятия;-;-
72801;Микропредприятия;-;-
72801;Средние предприятия;-;-
72802;Крупные предприятия;данные отсутствуют;данные отсутствуют
72802;Малые предприятия;данные отсутствуют;данные отсутствуют
72802;Микропредприятия;данные отсутствуют;данные отсутствуют
72802;Средние предприятия;данные отсутствуют;данные отсутствуют
72805;Крупные предприятия;Информация отсутствует;Информация отсутствует
72805;Малые предприятия;Информация отсутствует;Информация отсутствует
72805;Микропредприятия;Информация отсутствует;Информация отсутствует
72805;Средние предприятия;Информация отсутствует;Информация отсутствует
73008;Крупные предприятия;0;0
73008;Малые предприятия;0;0
73008;Микропредприятия;0;0
73008;Средние предприятия;0;0
73084;Крупные предприятия;нет информации;нет информации
73084;Малые предприятия;нет информации;нет информации
73084;Микропредприятия;нет информации;нет информации
73084;Средние предприятия;нет информации;нет информации
73094;Крупные предприятия;отсутствует;отсутствует
73094;Малые предприятия;отсутствует;отсутствует
73094;Микропредприятия;отсутствует;отсутствует
73094;Средние предприятия;отсутствует;отсутствует
73099;Крупные предприятия;-;-
73099;Малые предприятия;-;-
73099;Микропредприятия;-;-
73099;Средние предприятия;-;-
73130;Крупные предприятия;-;-
73130;Малые предприятия;-;-
73130;Микропредприятия;-;-
73130;Средние предприятия;-;-
73144;Крупные предприятия;-;-
73144;Малые предприятия;-;-
73144;Микропредприятия;-;-
73144;Средние предприятия;-;-
73154;Крупные предприятия;Отсутствует;Отсутствует
73154;Малые предприятия;Отсутствует;Отсутствует
73154;Микропредприятия;Отсутствует;Отсутствует
73154;Средние предприятия;Отсутствует;Отсутствует
73177;Крупные предприятия;-;-
73177;Малые предприятия;-;-
73177;Микропредприятия;-;-
73177;Средние предприятия;-;-
73189;Крупные предприятия;не проводилась;0
73189;Малые предприятия;не проводилась;0
73189;Микропредприятия;не проводилась;0
73189;Средние предприятия;не проводилась;0
73210;Крупные предприятия;-;-
73210;Малые предприятия;-;-
73210;Микропредприятия;-;-
73210;Средние предприятия;-;-
73238;Крупные предприятия;нет;нет
73238;Малые предприятия;нет;нет
73238;Микропредприятия;нет;нет
73238;Средние предприятия;нет;нет
73279;Крупные предприятия;10;25
73279;Малые предприятия;0;0
73279;Микропредприятия;0;0
73279;Средние предприятия;30;75
73300;Крупные предприятия;нет;нет
73300;Малые предприятия;нет;нет
73300;Микропредприятия;нет;нет
73300;Средние предприятия;нет;нет
73308;Крупные предприятия;нет;нет
73308;Малые предприятия;нет;нет
73308;Микропредприятия;нет;нет
73308;Средние предприятия;нет;нет
73424;Крупные предприятия;-;-
73424;Малые предприятия;-;-
73424;Микропредприятия;-;-
73424;Средние предприятия;-;-
73439;Крупные предприятия;информация уточняется;информация уточняется
73439;Малые предприятия;информация уточняется;информация уточняется
73439;Микропредприятия;информация уточняется;информация уточняется
73439;Средние предприятия;информация уточняется;информация уточняется
73491;Крупные предприятия;информация уточняется;информация уточняется
73491;Малые предприятия;информация уточняется;информация уточняется
73491;Микропредприятия;информация уточняется;информация уточняется
73491;Средние предприятия;информация уточняется;информация уточняется
73540;Крупные предприятия;-;-
73540;Малые предприятия;-;-
73540;Микропредприятия;-;-
73540;Средние предприятия;-;-
73617;Крупные предприятия;Не определена;Не определена
73617;Малые предприятия;Не определена;Не определена
73617;Микропредприятия;Не определена;Не определена
73617;Средние предприятия;Не определена;Не определена
73784;Крупные предприятия; ; 
73784;Малые предприятия; ; 
73784;Микропредприятия; ; 
73784;Средние предприятия; ; 
73808;Крупные предприятия;нет;нет
73808;Малые предприятия;нет;нет
73808;Микропредприятия;нет;нет
73808;Средние предприятия;нет;нет
73939;Крупные предприятия;отсутствует;отсутствует
73939;Малые предприятия;отсутствует;отсутствует
73939;Микропредприятия;отсутствует;отсутствует
73939;Средние предприятия;отсутствует;отсутствует
73942;Крупные предприятия;отсутствует;отсутствует
73942;Малые предприятия;отсутствует;отсутствует
73942;Микропредприятия;отсутствует;отсутствует
73942;Средние предприятия;отсутствует;отсутствует
73980;Крупные предприятия;-;-
73980;Малые предприятия;-;-
73980;Микропредприятия;-;-
73980;Средние предприятия;-;-
74031;Крупные предприятия;Отсутствует;Отсутствует
74031;Малые предприятия;Отсутствует;Отсутствует
74031;Микропредприятия;Отсутствует;Отсутствует
74031;Средние предприятия;Отсутствует;Отсутствует
74205;Крупные предприятия;Отсутствует;Отсутствует
74205;Малые предприятия;Отсутствует;Отсутствует
74205;Микропредприятия;Отсутствует;Отсутствует
74205;Средние предприятия;Отсутствует;Отсутствует
74221;Крупные предприятия;нет;-
74221;Малые предприятия;нет;-
74221;Микропредприятия;нет;-
74221;Средние предприятия;нет;-
74257;Крупные предприятия;-;-
74257;Малые предприятия;-;-
74257;Микропредприятия;-;-
74257;Средние предприятия;-;-
74260;Крупные предприятия;-;-
74260;Малые предприятия;-;-
74260;Микропредприятия;-;-
74260;Средние предприятия;-;-
74339;Крупные предприятия;0;0
74339;Малые предприятия;0;0
74339;Микропредприятия;0;0
74339;Средние предприятия;0;0
74353;Крупные предприятия;-;-
74353;Малые предприятия;-;-
74353;Микропредприятия;-;-
74353;Средние предприятия;-;-
74462;Крупные предприятия;Отсутствует;Отсутствует
74462;Малые предприятия;Отсутствует;Отсутствует
74462;Микропредприятия;Отсутствует;Отсутствует
74462;Средние предприятия;Отсутствует;Отсутствует
74495;Крупные предприятия;Отсутствует;Отсутствует
74495;Малые предприятия;Отсутствует;Отсутствует
74495;Микропредприятия;Отсутствует;Отсутствует
74495;Средние предприятия;Отсутствует;Отсутствует
74502;Крупные предприятия;Отсутствует;Отсутствует
74502;Малые предприятия;Отсутствует;Отсутствует
74502;Микропредприятия;Отсутствует;Отсутствует
74502;Средние предприятия;Отсутствует;Отсутствует
74514;Крупные предприятия;0;0
74514;Малые предприятия;0;0
74514;Микропредприятия;0;0
74514;Средние предприятия;0;0
74517;Крупные предприятия;Отсутствует;Отсутствует
74517;Малые предприятия;Отсутствует;Отсутствует
74517;Микропредприятия;Отсутствует;Отсутствует
74517;Средние предприятия;Отсутствует;Отсутствует
74521;Крупные предприятия;-;-
74521;Малые предприятия;-;-
74521;Микропредприятия;-;-
74521;Средние предприятия;-;-
74529;Крупные предприятия;Отсутствует;Отсутствует
74529;Малые предприятия;Отсутствует;Отсутствует
74529;Микропредприятия;Отсутствует;Отсутствует
74529;Средние предприятия;Отсутствует;Отсутствует
74617;Крупные предприятия;-;-
74617;Малые предприятия;-;-
74617;Микропредприятия;-;-
74617;Средние предприятия;-;-
74622;Крупные предприятия;Отсутствует;Отсутствует
74622;Малые предприятия;Отсутствует;Отсутствует
74622;Микропредприятия;Отсутствует;Отсутствует
74622;Средние предприятия;Отсутствует;Отсутствует
74754;Крупные предприятия;нет;нет
74754;Малые предприятия;нет;нет
74754;Микропредприятия;нет;нет
74754;Средние предприятия;нет;нет
74761;Крупные предприятия;нет.;нет.
74761;Малые предприятия;нет.;нет.
74761;Микропредприятия;нет.;нет.
74761;Средние предприятия;нет.;нет.
74840;Крупные предприятия;нет;нет
74840;Малые предприятия;нет;нет
74840;Микропредприятия;нет;нет
74840;Средние предприятия;нет;нет
75058;Крупные предприятия;нет;нет
75058;Малые предприятия;нет;нет
75058;Микропредприятия;нет;нет
75058;Средние предприятия;нет;нет
75063;Крупные предприятия;отсутствуют;отсутствуют
75063;Малые предприятия;отсутствуют;отсутствуют
75063;Микропредприятия;отсутствуют;отсутствуют
75063;Средние предприятия;отсутствуют;отсутствуют
75064;Крупные предприятия;нет;нет
75064;Малые предприятия;нет;нет
75064;Микропредприятия;нет;нет
75064;Средние предприятия;нет;нет
75183;Крупные предприятия;-;-
75183;Малые предприятия;-;-
75183;Микропредприятия;-;-
75183;Средние предприятия;-;-
75242;Крупные предприятия;отсутствует;отсутствует
75242;Малые предприятия;отсутствует;отсутствует
75242;Микропредприятия;отсутствует;отсутствует
75242;Средние предприятия;отсутствует;отсутствует
75399;Крупные предприятия;0;0
75399;Малые предприятия;0;0
75399;Микропредприятия;0;0
75399;Средние предприятия;0;0
75641;Крупные предприятия;-;-
75641;Малые предприятия;-;-
75641;Микропредприятия;-;-
75641;Средние предприятия;-;-
75673;Крупные предприятия;-;-
75673;Малые предприятия;-;-
75673;Микропредприятия;-;-
75673;Средние предприятия;-;-
75848;Крупные предприятия;Отсутствует;Отсутствует
75848;Малые предприятия;Отсутствует;Отсутствует
75848;Микропредприятия;Отсутствует;Отсутствует
75848;Средние предприятия;Отсутствует;Отсутствует
75986;Крупные предприятия;0;0
75986;Малые предприятия;0;0
75986;Микропредприятия;0;0
75986;Средние предприятия;0;0
76008;Крупные предприятия;Нет данных;Нет данных
76008;Малые предприятия;Нет данных;Нет данных
76008;Микропредприятия;Нет данных;Нет данных
76008;Средние предприятия;Нет данных;Нет данных
76042;Крупные предприятия;нет;-
76042;Малые предприятия;нет;-
76042;Микропредприятия;нет;-
76042;Средние предприятия;нет;-
76049;Крупные предприятия;-;-
76049;Малые предприятия;-;-
76049;Микропредприятия;-;-
76049;Средние предприятия;-;-
76089;Крупные предприятия;около 80;50
76089;Малые предприятия;более 100;16,5
76089;Микропредприятия;0;0
76089;Средние предприятия;более 120;33,5
76127;Крупные предприятия;-;7%
76127;Малые предприятия;-;0%
76127;Микропредприятия;-;0%
76127;Средние предприятия;-;0%
76131;Крупные предприятия;-;0%
76131;Малые предприятия;-;0%
76131;Микропредприятия;-;0%
76131;Средние предприятия;-;0%
76166;Крупные предприятия;-;0%
