regulation_project_id;Оценка структуры регулируемых субъектов по категориям;Количественная (интервальная) оценка;Удельный вес(%)
7981;Крупные предприятия;-;-
7981;Малые предприятия;-;-
7981;Микропредприятия;-;-
7981;Средние предприятия;-;-
15247;Крупные предприятия;не установлена;-
15247;Малые предприятия;не установлена;-
15247;Микропредприятия;не установлена;-
15247;Средние предприятия;не установлена;-
17151;Крупные предприятия;-;-
17151;Малые предприятия;-;-
17151;Микропредприятия;--;-
17151;Средние предприятия;-;-
18827;Крупные предприятия;отсутствует информация о количестве субъектов малого и среднего предпринимательства, подпадающем под действие законопроекта;-
18827;Малые предприятия;отсутствует информация о количестве субъектов малого и среднего предпринимательства, подпадающем под действие законопроекта;-
18827;Микропредприятия;отсутствует информация о количестве субъектов малого и среднего предпринимательства, подпадающем под действие законопроекта;-
18827;Средние предприятия;отсутствует информация о количестве субъектов малого и среднего предпринимательства, подпадающем под действие законопроекта;-
18888;Крупные предприятия;Отсутствует;-
18888;Малые предприятия;Отсутствует;-
18888;Микропредприятия;Отсутствует;-
18888;Средние предприятия;Отсутствует;-
20305;Крупные предприятия;-;-
20305;Малые предприятия;-;-
20305;Микропредприятия;-;-
20305;Средние предприятия;-;-
40884;Крупные предприятия;-;-
40884;Малые предприятия;-;-
40884;Микропредприятия;-;-
40884;Средние предприятия;-;-
45699;Крупные предприятия;информация уточняется;информация уточняется
45699;Малые предприятия;информация уточняется;информация уточняется
45699;Микропредприятия;информация уточняется;информация уточняется
45699;Средние предприятия;информация уточняется;информация уточняется
46233;Крупные предприятия;нет; 
46233;Малые предприятия;нет; 
46233;Микропредприятия;нет; 
46233;Средние предприятия;нет; 
47032;Крупные предприятия;0;0
47032;Малые предприятия;0;0
47032;Микропредприятия;0;0
47032;Средние предприятия;0;0
47262;Крупные предприятия;Информация отсутствует;Информация отсутствует
47262;Малые предприятия;Информация отсутствует;Информация отсутствует
47262;Микропредприятия;Информация отсутствует;Информация отсутствует
47262;Средние предприятия;Информация отсутствует;Информация отсутствует
47274;Крупные предприятия;нет;нет
47274;Малые предприятия;нет;нет
47274;Микропредприятия;нет;нет
47274;Средние предприятия;нет;нет
47312;Крупные предприятия;информация уточняется;информация уточняется
47312;Малые предприятия;информация уточняется;информация уточняется
47312;Микропредприятия;информация уточняется;информация уточняется
47312;Средние предприятия;информация уточняется;информация уточняется
47356;Крупные предприятия;информация уточняется;информация уточняется
47356;Малые предприятия;информация уточняется;информация уточняется
47356;Микропредприятия;информация уточняется;информация уточняется
47356;Средние предприятия;информация уточняется;информация уточняется
47365;Крупные предприятия;информация уточняется;информация уточняется
47365;Малые предприятия;информация уточняется;информация уточняется
47365;Микропредприятия;информация уточняется;информация уточняется
47365;Средние предприятия;информация уточняется;информация уточняется
47369;Крупные предприятия;информация уточняется;информация уточняется
47369;Малые предприятия;информация уточняется;информация уточняется
47369;Микропредприятия;информация уточняется;информация уточняется
47369;Средние предприятия;информация уточняется;информация уточняется
47371;Крупные предприятия;информация уточняется;информация уточняется
47371;Малые предприятия;информация уточняется;информация уточняется
47371;Микропредприятия;информация уточняется;информация уточняется
47371;Средние предприятия;информация уточняется;информация уточняется
47428;Крупные предприятия;информация уточняется;информация уточняется
47428;Малые предприятия;информация уточняется;информация уточняется
47428;Микропредприятия;информация уточняется;информация уточняется
47428;Средние предприятия;информация уточняется;информация уточняется
47431;Крупные предприятия;Информация уточняется;Информация уточняется
47431;Малые предприятия;Информация уточняется;Информация уточняется
47431;Микропредприятия;Информация уточняется;Информация уточняется
47431;Средние предприятия;Информация уточняется;Информация уточняется
47473;Крупные предприятия;информация уточняется;информация уточняется
47473;Малые предприятия;информация уточняется;информация уточняется
47473;Микропредприятия;информация уточняется;информация уточняется
47473;Средние предприятия;информация уточняется;информация уточняется
50240;Крупные предприятия;-;-
50240;Малые предприятия;-;-
50240;Микропредприятия;-;-
50240;Средние предприятия;-;-
52754;Крупные предприятия;не повлияет;не повлияет
52754;Малые предприятия;не повлияет;не повлияет
