regulation_project_id;Срок, в течение которого разработчиком принимались предложения в связи с размещением уведомления о подготовке проекта акта
26694; 
26710;2 февраля 2015 г.
26710;17 февраля 2015 г.
26785;2 февраля 2015 г.
26785;17 февраля 2015 г.
26822;2 феврля 2015 г.
26822;17 февраля 2015 г.
26992;05.02.2015
26992;20.02.2015
27123;28.05.2015
27123;11.06.2015
27167;28 мая 2015 г.
27167;12 июня 2015 г.
27292;29.05.2015
27292;13.06.2015
27343;21.10.2014 г.
27343;5.11.2014 г.
27497;20.02.2015
27497;05.03.2015
27499;1 июня 2015
27499;20 июля 2015
27529;04.09.2015
27529;17.09.2015 
27689;05.02.2015
27689;20.02.2015
27752;01.06.2015
27752;16.06.2015
27764;20.06.2014
27764; 
27823;05 мая 2015 г.
27823;20 мая 2015 г.
27958;18.11.2014
27958; 
28004;10.04.2014
28004;25.04.2014
28037;"""02"" июня 2015 г."
28037;"""17"" июня 2015 г"
28088;6 февраля 2015 г.
28088;15 июля 2015 г.
28180;04.06.2015
28180;18.06.2015
28203;02.06.2015
28203;17.06.2015
28264;06 февраля 2015 г.
28264;21 февраля 2015 г.
28742;«11» февраля 2015 г.
28742; 
28846;29.06.2015 
28846;13.07.2015
28872;26 июня 2015 года
28872;11 июля 2015 года 
28918;24.04.2015
28918;09.05.2015
28933;26 июня 2015 г.
28933;11 июля 2015 г. 
28945;нет
28945;нет
28952;26 июня 2015 г.
28952;11 июля 2015 г.
28968;28.07.2014
28968; 
28972;03.09.2014
28972;03.10.2014
28998;28.07.2015
28998; 
29007;9 июля 2015 г.
29007;24 июля 2015 г.
29023;25.06.2015
29023;10.07.2015
29033;24.04.2015
29033;09.05.2015
29041;25.07.2015
29041;05.08.2015
29052;26.02.2015
29052;13.03.2015
29169;03.09.2014
29169;03.10.2014
29240;26.04.2015
29240;09.07.2015
29300;24 июня 2015
29300;9 июля 2015
29321;06 августа 2015
29321;20 августа 2015
29330;24.06.2015
29330;09.07.2015
29341;24.06.2015
29341;08.07.2015
29357;24 июня 2015 
29357;9 июля 2015
29436;19 февраля 2015 года 
29436;06 марта 2015 года
29451;19	 февраля 2015г.								
29451;06 марта 2015г.
29463;22 июня 2015 года
29463;8 июля 2015 года
29469;06 апреля 2015 г.
29469;21 апреля  2015 г.
29484;Отсутсвует
29484;Отсутсвует
29499;24 июня 2015 г.
29499;9 июля 2015 г. 
29548;22 июня 2015 г.
29548;7 июля 2015 г
29568;22.06.2015
29568;07.07.2015
29667;25.06.2015
29667;10.07.2015
29749;22.06.2015
29749;07.07.2015
29750;22 июня 20154 г.
29750;7 июля 2015 г.
29787;17 февраля 2016 г.
29787;4 марта 2016 г.
29798;19 июня 2015 г.
29798;04 июля 2015 г.
29801;22 июня 2015 года
29801;5 июля 2015 года
29999;1 июля 2015 г.
29999;10 июля 2015 г.
30021;03 июня 2015
30021;17 июня 2015
32063;2 июля 2015
32063;16 июля 2015
34120;28.10.2015
34120;10.11.2015
34151;06.07.2015
34151; 
34154;http://regulation.gov.ru/projects#npa=34154
34154; 
34156;16.06.2015 г.
34156;1.07.2015 г.
34157;16.06.2015
34157;01.07.2015
34162;16 июня 2015 г.
34162;1 июля 2015 г.
34173;16 июня 2015 г.
34173;1 июля 2015 г.
34199;15.06.2015
34199;30.06.2015
34226;Даныые будут предоставлены по результатам общественного обсуждения проекта акта
34226; 
34243;и
34243; 
34246;16 июня 2015
34246;01 июля 2015
34259;10.06.2015
34259;25.06.2015
34282;16.06.2015
34282;16.07.2015
34316;11.06.2015
34316;31.08.2015
34356;-
34356; 
34358;01.06.2015
34358;16.06.2015
34366;9 июня 2015 г.
34366;24 июня 2015 г.
34382;5 июня 2015 года
34382;20 июня 2015 года
34390;5 июня 2015 года
34390; 
34395;-
34395;-
34415;03.06.2015
34415;18.06.2015
34443;01.06.2015
34443;16.06.2015
34460;16.04.2015
34460;01.05.2015
34474;16 апреля 2015 г.
34474;30 апреля 2015 г. 
34490;25.06.2015
34490;10.07.2015
34513;5 июня 2015 г.
34513;26 июня 2015 г.
34550;08.06.2015
34550;23.06.2015
34583;15 апреля 2015 г.
34583;30 апреля 2015 г.
34590;20 дней
34590; 
34597;"«02» апреля 2015 г.;  "
34597;«17» апреля 2015 г.
34598;01.04.2015
34598;16.04.2015
34606;31 марта 2015
34606;15 апреля 2015
34609;31 марта 2015
34609;15 апреля 2015
34627;2015 год
34627; 
34647;21.08.2015
34647;24.09.2015
34649;7 апреля 2015 г.
34649;22 апреля 2015 г.
34718;30.12.2014
34718;15.01.2015
35025;06 июля 2015 г.
35025;15 июля 2015 г. 
35032;06.07.2015
35032;20.07.2015
35039;06 июля 2015 года
35039;20 июля 2015 года
35064;8 июля 2015 года
35064;22 июля 2015 года 
35065;"«7» июля 2015 г.; окончание: «21» июля 2015 г."
35065; 
35078;07.07.2015
35078;22.07.2015
35087;07/07/2015
35087;21/07/2015
35113; 07.07.2015
35113;20.07.2015 
35122;07.07.2015
35122;18.07.2015
35126;07.07.2015
35126;20.07.2015
35140;20 июля 2015 г.
35140;29 июля 2015 г.
35143;08.07.2015
35143;22.07.2015
35158; 08.07.2015  
35158;12.08.2015
35169;08.07.2015
35169;18.07.2015
35172;08.07.2015
35172;04.08.2015
35181;8 июля 2015 года
35181; 
35366;09/07/2015
35366;23/07/2015
35568;9.07.2015
35568;19.07.2015
35632;09.07.2015
35632;22.07.2015
35633;09/07/2015
35633;20/07/2015
35635;09/07/2015
35635; 
37020;10.07.2015
37020; 
37030;10.07.2015
37030;24.07.2015
37033;10 июля 2015
37033;25 июля 2015
37035;10 июля 2015
37035;20 июля 2015
37047;10.07.2015
37047;17.07.2015
37074;10.07.2015
37074; 
37103;14.07.2015
37103;27.07.2015
37127;13 июля 2015 г.
37127;27 июля 2015 г.
37150;14 июля 2015
37150;28 июля 2015
37191;01.08.2015
37191;08.08.2015
37232;30 июня 2015 г.
37232; 
37247;15 июля 2015 г.
37247;29 июля 2015 г.
37270;15 июля 2015
37270;24 июля 2015
37272;III квартал 2015 г.
37272; 
37289;27.07.2015  
37289;05.08.2015
37298;16 июля 2015 
37298;30 июля 2015
37305;16.07.2015
37305;5.08.2015
37309;16.07.2015
37309;31.07.2015
37316;16.07.2015
37316;29.07.2015
37319;16 июля 2015
37319;29 июля 2015 
37332;17.07.2015
37332;30.07.2015
37341;15 июля 2015
37341;5 августа 2015
37343;15 июля 2015
37343;5 августа 2015
37346;7 июля 2015
37346;21 июля 2015
37352; «20» июля 2015 г.
37352;«31» июля 2015 г.
37353;17.07.2015
37353;30.07.2015
37362;17.07.2015
37362;06.08.2015
37367;31.08.2015
37367;30.10.2015
37384;20 июля 2015
37384;31 июля 2015
37385;20 июля 2015
37385;7 августа 2015
37407;13 мая 2015 г.
37407;12 июн 2015 г.
37418;20 июля 2015 г.
37418;21 августа 2015 г.
37420;20 июля 2015 г.
37420;31 июля 2015 г.
37426;21.07.2015
37426;31.08.2015
37436;21.07.2015
37436;10.08.2015
37450;21.07.2015
37450;10.08.2015
37455;«21» июля 2015 г.
37455;«10» августа 2015 г.
37461;21 июля 2015
37461;10 августа 2015
37471;информация уточняется
37471;информация уточняется
37486;22 июля 2015 г.
37486;1 августа 2015 г.
37488;22.07.2015
37488; 
37495;21 июля 2015 г.
37495;4 августа 2015 г.
37496;22 июля 2015 г
37496;4 августа 2015г.
37497;13.08.2015
37497;24.08.2015
37498;22 июля 2015 г.
37498;4 августа 2015 г.
37535;27.07.2015
37535;05.08.2015
37537;23.07.2015
37537;05.08.2015
37544;23 июля 2015 г
37544;26 июля 2015 г
38167;24.07.2015
38167;13.08.2015
38171;24.07.2015
38171;25.12.2015
38214;27.07.2015
38214;08.08.2015
38247;27 июля 2015 г.
38247;14 августа 2015 г.
38252;27,07,2015
38252;14,08,2015
38253;27.07.2015
38253;14.08.2015
38277;21/08/2015
38277; 
38290;28 июля 2015 г.
38290;17 августа 2015 г.
38295;"«28» июля 2015 г.;"
38295; 
38305;28 июля 2015 года 
38305;10 августа 2015 года
38306;28.07.2015
38306;17.08.2015
38315;28 июля 2015 года
38315;10 августа 2015 года
38316;28.07.2015
38316;10.08.2015
38323;29 июля 2015
38323;11 августа 2015
38324;29 июля 2015 г.
38324;11.08.2015
38332;29.07.2015
38332;12.08.2015
38348;29 июля 2015
38348;11 августа 2015
38349;29 июля 2015 года
38349;11 августа 2015 года
38359;29.07.2015 г.
38359;11.08.2015 г.
38365;29/07/2015
38365;19/08/2015
38368;29 июля 2015
38368;11 августа 2015
38380;29.07.2015
38380;26.11.2015
38383;30.07.2015 
38383;12.08.2015
38387;30.07.2015 – 12.08.2015
38387; 
38396; 30.07.2015
38396;13.08.2015
38398;30.07.2015
38398; 
38399;30.07.2015
38399;12.08.2015
38430;30.07.2015
38430; 
38438;3.08.2015 г.
38438;14.08.2015 г.
38458;27 июля 2015 г.
38458;5 августа 2015 г.
38460;31.07.2015
38460;13.08.2015
38476;28 июля 2015 года
38476; 
38481;31.07.2015
38481; 
38485;03.08.2015
38485; 
38493;31 июля 2015г.
38493;13 августа 2015 г.
38495;31 июля 2015 г.
38495;13 августа 2015 г.
38498;31 июля 2015 г.
38498;13 августа 2015 г.
38499;31 июля 2015 г.
38499;13 августа 2015 г.
38600;11 августа 2015 г.
38600; 
38602;03.08.2015
38602;15.08.2015
38605;3 августа 2015 г.
38605;28 августа 2015 г.
38607;3 августа 2015 г.
38607;28 августа 2015 г.
38608;11 августа 2015 г.  
38608;24 августа 2015 г.
38611;07.08.2015
38611;20.08.2015
38623;не принимались
38623; 
38639;4 августа 2015 г.
38639;24 августа 2015 г.
38644;04.08.2015
38644;24.08.2015
38651;02.08.2015
38651;24.08.2015
38654;4 августа 2015 г.
38654;24 августа 2015 г.
38670;05.08.2015
38670;25.08.2015
38700;06.08.2015
38700;04.09.2015
38718;06.08.2015
38718;19.08.2015
38734;18.08.2015
38734;07.09.2015
38743;06.08.2015 
38743;19.08.2015
38747;06.08.2015
38747;19.08.2015
38749;06.08.2015
38749;19.08.2015
38769;7 августа 2015 г.
38769; 
38770;7 августа 2015 г.
38770; 
38771;07.08.2015
38771;28.08.2015
38776;07.08.2015
38776;20.08.2015
38783;«7» августа 2015 г.
38783; 
38787;07.08.2015
38787;20.08.2015
38796;30.11.2015
38796;11.12.2015
38800;7 августа 2015 г.
38800;20 августа 2015 г.
38805;07 августа 2015
38805;21 августа 2015
38806;07.08.2015
38806;20.08.2015
38807;07 августа 2015
38807;21 августа 2015
38863;11 августа 2015 г.
38863;24 августа 2015
38864; 11.08.2015
38864;01.09.2015
38876;11 августа 2015 г.
38876; 
38893;информация уточняется
38893;информация уточняется
38894;11 августа 2015 г
38894;24 августа 2015 г
38899;12.08.2015
38899;02.09.2015
38906;11.08.2015 
38906;25.08.2015 
38909;11.08.2015 
38909;25.08.2015 
38920;12 августа 2015
38920;25 августа 2015
38924;12.08.2015
38924;02.09.2015
38932;12.08.2015
38932;02.09.2015
38942;12 августа 2015 года
38942;25 августа 2015 года
38944;12.08.2015
38944;09.11.2015
38946;12 августа 2015 года
38946;26 августа 2015 года
38954;13.08.2015
38954;26.08.2015
38962;13 августа 2015 г.
38962;27 августа 2015 г.
38963;28 августа 2015 г.
38963; 
38969;13 августа 2015
38969;26 августа 2015
38976;13 августа 2015
38976;02 сентября 2015
38981;13 августа 2015 года
38981;2 сентября 2015 года
38998;14 августа 2015
38998;3 сентября 2015
38999;-
38999;-
39010;14.08.2015
39010;11.09.2015
39024;14.08.2015
39024;27.08.2015
39026;14.08.2015
39026;02.09.2015
39037;15.08.2015
39037;31.08.2015
39038;03.12.2015
39038;23.12.2015
39039;03.12.2015
39039;23.12.2015
39040;16.08.2015
39040;18.09.2015
39041;16.08.2015
39041;28.08.2015
39044;16/08/2015
39044;28/08/2015
39063;14.08.2015
39063;28.08.2015
39075;18.08.2015
39075;31.08.2015
39080;17/08/2015
39080;10/09/2015
39081;18.08.2015
39081; 
39088;17 августа 2015 г.
39088;04 сентября 2015 г.
39134;18.08.2015
39134;01.09.2015
39159;19.08.2015
39159;01.09.2015
39166;19 августа 2015 года
39166;8 сентября 2015 года
39175;«19» августа 2015 г
39175;«1» сентября 2015 г.
39176;07.10.2015
39176;20.10.2015
39178; «19» августа 2015 г.
39178;«2» сентября 2015 г.
39187;19 августа 2015 г.
39187; 16 октября 2015 г.
39201; 20.08.2015 
39201;11.09.2015
39219;20.08.2015
39219;3.09.2015
39220;3 сентября 2015 г.
39220; 
39226;20 августа 2015 г.
39226;2 сентября 2015 г.
39228;20 августа 2015 г.
39228;2 сентября 2015 г.
39236;20 августа 2015 г. 
39236;2 сентября 2015 г.
39238;20 августа 2015 г.
39238;3 сентября 2015 г.
39239;20.08.2015
39239;02.09.2015
39264;21.08.2015
39264;04.09.2015
39276;21 августа 2015 г.
39276;3 сентября 2015 г.
39290;24.08.2015
39290;04.08.2015
39295;24 августа 2015 г.
39295;4 сентября 2015 г.
39307;24 августа 2015 г.
39307;4 сентября 2015 г.
39319;24.08.2015
39319;04.09.2015
39320;24.08.2015
39320;04.09.2015
39329;27 августа 2015 г.
39329;9 сентября 2015 г.
39333;25.08.2015 – 07.09.2015
39333; 
39339;25.08.2015
39339;08.09.2015
39357;25 августа 2015 г.
39357;6 ноября 2015 г.
39372;25 августа 2015 г.
