regulation_project_id;Срок, в течение которого разработчиком принимались предложения в связи с размещением уведомления о подготовке проекта акта
50352;18 июля 2016 г.
50361;05.07.2016
50361;18.07.2016
50365;05.07.2016
50365;27.07.2016
50366;05.07.2016
50366;18.07.2016
50374;05.07.2016
50374;19.07.2016
50379;"20/07/2016;  02.09.2016"
50379;"02/08/2016;  15.09.2016"
50385;6 июля 2016
50385;19 июля 2016
50391;5 июля 2016
50391;21 июля 2016
50394;06.07.2016
50394;19.07.2016
50398;06.07.2016 
50398;19.07.2016
50410;07.07.2016
50410;27.07.2016
50415;07.07.2016
50415;20.07.2016
50428;07.07.2016
50428;20.07.2016
50439;07.07.2016
50439;20.07.2016
50447;08.07.2016
50447;21.07.2016
50465;08.07.2016
50465;22.07.2016
50467;08.07.2016
50467;03.08.2016
50475;8 июля 2016  
50475;21 июля 2016 
50481;08.07.2016
50481;21.07.2016
50488;08.07.2016
50488;21.07.2016
50489;-
50489;-
50491;08.07.2016
50491;21.07.2016
50551; 11.07.2016
50551;23.07.2016
50590;12 июля 2016 г.
50590;4 августа 2016 г.
50603;8 сентября 2016 г.
50603;21 сентября 2016 г. 
50607;13 июля 2016 г.
50607;26 июля 2016 г.
50628;03.10.2014
50628;18.10.2014
50639;14.07.2016
50639;24.07.2016
50667;нет
50667;нет
50671;нет
50671;нет
50680;нет
50680;нет
50750;18 июля 2016 г.
50750;12 августа 2016 г.
50791;"10 апреля 2014 г.
"
50791;25 апреля 2015 г.
50792;19.07.2016
50792;18.08.2016
50799;19 июля 2016
50799;01 августа 2016
50809;18.07.2016
50809;07.08.2016
50821;20 июля 2016 
50821;02 августа 2016
50842;27 июля 2016 г.
50842;2 августа 2016 г. 
50852;20.07.2016
50852;02.08.2016
50864;-
50864;-
50875;-
50875;-
50879;18.07.2016
50879;30.07.2016
50894;21.07.2016
50894;03.08.2016
50917;отсутствует
50917;отсутствует
50926;22.07.2016
50926;08.08.2016
50928;22.07.2016
50928;05.08.2016
50954;Нет
50954;Нет
50969;25.07.2016
50969;08.08.2016
50985;26.07.2016
50985;08.08.2016
50986;16.08.2016
50986;12.09.2016
50987;25 июля 2016
50987;05 августа 2016
51017;30.03.2016 
51017;12.04.2016 
51024;26 июля 2016 г.
51024;11 августа 2016 г,
51031;26 июля 2016
51031;8 августа 2016
51035;26 июля 2016
51035;8 августа 2016
51042;26 июля 2016
51042;08 августа 2016
51052;26.07.2016
51052;08.08.2016
51053;26.07.2016
51053;09.08.2016
51078;"Этап уведомления отсутствует.
"
51078;"Этап уведомления отсутствует.
"
51106;27.07.2016
51106;09.08.2016
51107;"27 июля 2016 г.												

"
51107;9 августа 2016 г.
51124;28 июля 2016 г.
51124;10 августа 2016 г.
51149;2 августа 2016 г.
51149;15 августа 2016 г.
51158;29 июля 2016 года
51158;23 августа 2016 года
51161;29/07/2016
51161;25/08/2016
51170;-
51170;-
51179;29 июля 2016 
51179;11 августа 2016
51180;29 июля 2016
51180;11 августа 2016
51188;-
51188;-
51189;29 июля 2016 г.
51189;11 августа 2016 г.
51192;29 июля 2016 г.
51192;11 августа 2016 г.
51211;29/07/2016
51211;12/08/2016
51212;2 сентября 2016 года
51212;17 сентября 2016 года
51214;-
51214;-
51217;-
51217;-
51222;1 августа 2016
51222;12 августа 2016
51239;01.08.2016  
51239;13.08.2016  
51243;01.08.2016
51243;12.08.2016
51248;1 августа 2016 г.
51248;1 октября 2016 г.
51263;2 августа 2016 г.
51263;15 августа 2016 г.
51304;02.08.2016
51304;18.08.2016
51309;нет
51309;нет
51334;03.08.2016
51334;16.08.2016
51340;03.08.2016
51340;16.08.2016
51354;-
51354;-
51358;-
51358;-
51365;04.08.2016
51365;24.08.2016
51367;Информация уточняется
51367;Информация уточняется
51370;04.08.2016
51370;18.08.2016
51380;05.2016
51380;20.08.2016
51413;05 августа 2016 г.
51413;18 августа 2016 г.
51414;05 августа 2016 г.
51414;18 августа 2016 г.
51423;нет
51423;нет
51434;Отсутствует
51434;Отсутствует
51450;-
51450;-
51457;В соответствии с требованиями пункта 9 постановления Правительства Российской Федерации от 17.12.2012 № 318 размещение уведомления о подготовке проекта постановления не требуется 
51457;В соответствии с требованиями пункта 9 постановления Правительства Российской Федерации от 17.12.2012 № 318 размещение уведомления о подготовке проекта постановления не требуется 
51461;8 августа 2016
51461;19 августа 2016
52464;Уведомление в информационно-телекоммуникационной сети «Интернет» не размещалось.
52464;Уведомление в информационно-телекоммуникационной сети «Интернет» не размещалось.
52485;9 августа 2016
52485;22 августа 2016
52497;«09»  августа  2016 г.
52497;«30»  августа  2016 г
52505;9 августа 2016 г.
52505;22 августа 2016 г.
52526;09.08.2016
52526;05.09.2016
52531;9 августа 2016
52531;22 августа 2016
52538;-
52538;-
52540;.
52540;.
52543;нет
52543;нет
52554;-
52554;-
52562;10.08.2016
52562;29.08.2016
52572;нет 
52572;нет
52574;НЕТ
52574;НЕТ
52577;10.08.2016
52577;24.08.2016
52579;11 августа 2016
52579;24 августа 2016
52580;11 августа 2016 г.
52580;24 августа 2016 г.
52589;«11»  августа  2016 г
52589;«31»  августа  2016 г.
52595;11.08.2016
52595;25.08.2016
52607;-
52607;-
52609;Нет
52609;Нет
52612;11 августа 2016 г.
52612;24 августа 2016 г.
52615;11 августа 2016
52615;24 августа 2016
52623;11 августа 2016 
52623;24 августа 2016 
52645;12 августа 2016
52645;25 августа 2016
52648;-
52648;-
52677;нет
52677;нет
52684;12 августа 2016
52684;25 августа 2016
52699;Размещение уведомления о подготовке проекта акта не осуществлялось
52699;-
52727;15.08.2016
52727;27.08.2015
52728;15.08.2016
52728;09.09.2016
52731;16.08.2016
52731;30.08.2016
52734;16.08.2016
52734;12.09.2016
52745;16.08.2016
52745;29.08.2016
52746;нет
52746;нет
52754;16 августа 2016 г.
52754;29 августа  2016 г
52755;нет
52755;нет
52772;17 августа 2016
52772;30 августа 2016
52776;информация уточняется
52776;информация уточняется
52778;Информация уточняется
52778;Информация уточняется
52782;-
52782;-
52783;17 августа 2016 г.
52783;31 августа 2016 г.
52795;нет
52795;нет
52817;нет
52817;нет
52820;нет
52820;нет
52824;Отсутствует
52824;Отсутствует
52828;нет
52828;нет
52833;-
52833;-
52836;18.08.2016
52836;07.09.2018
52839;нет данных
52839;нет данных
52844;-
52844;-
52849;18.08.2016
52849;07.09.2016
52855;18 августа 2016
52855;31 августа 2016
52857;22.08.2016
52857;19.09.2016
52865;19/08/2016
52865;05/09/2016
52869;19.08.2016
52869;16.09.2016
52873;19.08.2016
52873;02.09.2016
52879; Уведомление не размещалось.
52879;Уведомление не размещалось.
52887;"19 августа 2016	г.
"
52887;"2 сентября 2016 г.	
"
52890;-
52890;-
52902;уведомление не размещалось
52902;уведомление не размещалось
52943;нет
52943;нет
52945;27 июля 2016 г.
52945;11 августа 2016 г.
52953;22.08.2016  
52953; 03.09.2016 
52964;22.08.2016
52964;02.09.2016
52967;22 августа 2016 года
52967;2 сентября 2016 года
52971;22 августа 2016 г.
52971;3 сентября 2016 г.
52973;22.08.2016
52973;18.10.2016
52975;23 августа 2016 г.
52975;5 сентября 2016 г.
52986;нет
52986;нет
52987;23 августа 2016 г.
52987;6 сентября 2016 г.
52989;Уведомление не размещалось.
52989;Уведомление не размещалось.
52997;Отсутствует
52997;Отсутствует
52998; 
52998; 
53004;23.08.2016
53004;06.09.2016
53007;23 августа 2016
53007;5 сентября 2016
53011;23.08.2016
53011;08.09.2016
53012;-
53012;-
53014;Уведомление не размещалось
53014;Уведомление не размещалось
53022;23 августа 2016 г.
53022;5 сентября 2016 г.
53024;-
53024;-
53042;24.08.2016
53042;30.09.2016
53043;-
53043;-
53065;-
53065;-
53080;25 августа 2016 г.
53080;7 сентября 2016 г.
53109;Уведомление не размещалось
53109;Уведомление не размещалось
53111;Уведомление не размещалось
53111;Уведомление не размещалось
53125;26.08.2016
53125;08.09.2016
53135;-
53135;-
53140;29 августа 2016 г.
53140;16 сентября 2016 г.
53146;11 июля 2017 года
53146;24 июля 2017 года
53176;9.08.2016
53176;7.09.2016
53180;30.08.2016
53180;12.09.2016
53236;01.09.2016
53236;14.09.2016
53241;31 августа 2016
53241;13 сентября 2016
53255;1 сентября 2016 г.
53255;15 сентября 2016 г.
53262;2 сентября 2016 года
53262;16 сентября 2016 года
53275;«01» сентября 2016 г.
53275;«15» сентября 2016 г.
53279;уточняется
53279;уточняется
53289;2 сентября 2016
53289;15 сентября 2016
53291;информация уточняется
53291;информация уточняется
53293;2 сентября 2016
53293;15 сентября 2016
53297;02 сентября 2016
53297;15 сентября 2016
53299;-
53299;-
53308;2 сентября 2016 года
53308;16 сентября 2016 года
53315;«02» сентября 2016 г.
53315;«16» сентября 2016 г.
53317;«02» сентября 2016 г.
53317;«16» сентября 2016 г.
53324;Уточняется
53324;Уточняется
53331;нет
53331;нет
53354;05.09.2016
53354;16.09.2016
53355;5 сентября 2016 г.
53355;16 сентября 2016 г.
53382;отсутствует
53382;отсутствует
53386;-
53386;-
53388; 
53388; 
53389; 
53389; 
53390;6 сентября 2016
53390;19 сентября 2016
54663;08 сентября 2016 г.
54663;22 сентября 2016 г.
54679;29 июля 2016
54679;11 августа
54686;отсутстует
54686;отсутстует
54690;отсутстует
54690;отсутстует
54693;-
54693;-
54697;8 сентября 2016 г.
54697;21 сентября 2016 г.
54700;02.09.2016
54700;26.09.2016
54708;08.09.2016
54708;21.09.2016
54719;08.09.2016
54719;22.09.2016
54734;09.09.2016
54734;22.09.2016
54737;-
54737;-
54744;09.09.2016
54744;29.09.2016
54746;нет
54746;нет
54749;нет
54749;нет
54758;09.09.2016
54758;22.09.2016
54768;9 сентября 2016 
54768;23 сентября 2016
54769;нет
54769;нет
54770;9 сентября 2016 г.
54770;22 сентября 2016 г.
54783;12.09.2016 г.
54783;07.10.2016 г.
54788;-
54788;-
54815;не принимались
54815;не принимались
54822;19.09.16
54822;4.09.16
54845;13 сентября 2016
54845;26 сентября 2016
54848;13.09.2016
54848;26.09.2016
54854;26 сентября 2016 
54854;8 октября 2016
54862;13.09.2016
54862;26.09.2016
54863;«13» сентября 2016 г.
54863;«26» сентября 2016 г.
54874;13.09.2016
54874;03.10.2016
54881;14.09.2016
54881;28.09.2016
54884;23.09.2015
54884;14.09.2016
54885;14.09.2016
54885;28.09.2016
54897;14.09.2016
54897;27.09.2016
54898;14.09.2016
54898;27.09.2016
54905;14.09.2016
54905;03.10.2016
54906;не размещалось
54906;не размещалось
54924;03.10.2016
54924;14.10.2016
54927;отсутствуют
54927;отсутствуют
54930;15.09.2016
54930;06.10.2016
54948; 
54948; 
54954;нет
54954;нет
54955;-
54955;-
54961;01.02.2017
54961;10.04.2017
54969;16.09.2016
54969;29.09.2016
54970;16 сентября 2016 г.
54970;6 октября 2016 г.
54982;16 сентября 2016 г. 
54982;7 октября 2016 г.
54983; 
54983; 
54985;-
54985;-
54995;16 сентября 2016 г.
54995;29 сентября 2016 г.
55013;«16» сентября 2016 г.
55013;«30» сентября 2016 г.
55109;19.09.2016
55109;03.10.2016
55112;19 2016
55112;01 августа 2016
55114;19.09.2016
55114;03.10.2016
55116;19.09.2016
55116;03.10.2016
55126;-
55126;-
55135;20 сентября 2016
55135;03 октября 2016
55137;20 сентября 2016
55137;03 октября 2016
55152;20.09.2016
55152;17.10.2016
55157;-
55157;-
55172;21.09.2016
55172;04.10.2016
55183;21 сентября 2016 года
55183;5 сентября 2016 года
55214;22.09.2016
55214;02.10.2016
55217;6 сентября 2016 года
55217;20 сентября 2016 года
55240;28 сентября 2016
55240;12 октября 2016
55251;05.10.2016
55251;18.10.2016
55258;уведомление не размещалось
55258;уведомление не размещалось
55276;23.09.2016
55276;06.10.2016
55280;отсутствует
55280;отсутствует
55283;23.09.2016
55283;14.10.2016
55292;«01» сентября 2016 г.
55292;«15» сентября 2016 г.
55293;23 сентября 2016 г.
55293;6 октября 2016 г.
55300;отсутствует 
55300;отсутствует 
55301;отсутствует
55301;отсутствует
55311;24 августа 2016 года
55311;07 сентября 2016 года
55315;7 октября 2014 г.
55315;22 октября 2014 г.
55324;нет
55324;нет
55342;26.09.2016
55342;07.10.2016
55362;27.09.2016
55362;12.10.2016
55365;27.09.2016
55365;10.10.2016
55376;28/09/2016
55376;25/10/2016
55382;27.09.2016
55382;10.10.2016
55390;отсутствует
55390;отсутствует
55399;отсутствует
55399;отсутствует
55411;30.09.2016 
55411;14.10.2016
55433;29 сентября 2016 г.
55433;12 октября 2016 г.
55436;20.05.2016
55436;01.06.2016
55438;29.09.2016
55438;12.10.2016
55443;29.09.2016
55443;26.10.2016
55447;29.09.2016
55447;13.10.2016
55471;30.09.2016
55471;13.10.2016
55495;нет
55495;нет
55496;Отсутствует
55496;Отсутствует
55502;3 октября 2016
55502;14 октября 2016
55527;отсутствует
55527;отсутствует
55533;03.10.2016
55533;31.10.2016
55561;14 сентября 2016 г.
55561;29 сентября 2016 г.
55569;информация уточняется
55569;информация уточняется
55570;Информация уточняется
55570;Информация уточняется
55593;-
55593;-
55595;нет
55595;нет
55598;19.10.2016
55598;09.11.2016
55602;-
55602;-
55604; 
55604; 
55619;05.10.2016
55619;16.12.2016
55627;-
55627;-
55635; 
55635; 
55650;-
55650;-
55655;«06» октября 2016 г.
55655;«26» октября 2016 г.
55658; 
55658; 
55668;06.10.2016
55668;02.11.2016
55672;6 октября 2016 года
55672;24 октября 2016 года
55686; 
55686; 
55710;07/10/2016
55710;10/10/2016
55729;10 октября 2016
55729;21 октября 2016
55731;нет
55731;нет
55732;10.10.2016 
55732;22.10.2016
55733;-
55733;-
55743;не размещался
55743;не размещался
55766;11.10.2016
55766;30.10.2016
55769;11.10.2016
55769;21.10.2016
55778;не размещалось
55778;не размещалось
55792;11.10.2016
55792;24.10.2016
55794;17 октября 2016 г.
55794;28 октября 2016 г.
55800;Не проводилось.
55800;Не проводилось.
55802;Не размещалось.
55802;Не размещалось.
55804;11.10.2016
55804;0
55813;12.10.2016
55813;12.11.2016
55827;12.10.2016 г.
55827;25.10.2016 г.
55830;12 октября 2016 г.
55830;1 ноября 2016 г.
55849;12.10.2016
55849;25.10.2016
55854;12 октября 2016 г.
55854;1 ноября 2016 г.
55865;"12.10.2016
"
55865;25.10.2016
55868;12.10.2016
55868;25.10.2016
55873;отсутствует
55873;отсутствует
55880;13 октября 2016
55880;26 октября 2016
55881;13.10.2016
55881;26.10.2016
55888;13.10.2016
55888;01.11.2016
55897;-
55897;-
55910;13 октября 2016
55910;26 октября 2016
55912;13 октября 2016 года
55912;26 октября 2016 года
55922;Не размещалось.
55922;Не размещалось.
55930;отсутствует
55930;отсутствует
55935;14.10.2016
55935;24.10.2016
55937;13.07.2016
55937;23.07.2016
55970;нет
55970;нет
55973;нет информации
55973;нет информации
55996;-
55996;-
56021;18.10.2016
56021;28.10.2016
56026;«17» октября  2016 г.
56026;«1» ноября 2016 г.
56031;«17» октября 2016 г.
56031;«1» ноября 2016 г.
56076;-
56076;-
56077;-
56077;-
56093;15.03.2017
56093;11.04.2017
56104;19.10.2016
56104;01.11.2016
56107;.
56107;.
56112;- 
56112;- 
56116;-
56116;-
56145;-
56145;-
56147;20.10.2016
56147;08.11.2016
56149;Отсутствует
56149;Отсутствует
56171;« 21 » октября 2016 г.
56171;« 03 » ноября 2016 г.
56193;21.10.2016
56193;03.11.2016
56195;21.10.2016
56195;03.11.2016
56200;Информация уточняется
56200;Информация уточняется
56206;25.10.2016
56206;14.11.2016
56225;-
56225;-
56228;-
56228;-
56237;25.10.2016
56237;09.11.2016
56265;нет
56265;нет
56281;26.10.2016
56281;14.11.2016
56284;нет
56284;нет
56288;25.10.2016 
56288;14.11.2016
56326;26.10.2016
56326;23.11.2016
56336;октябрь 2016
56336;ноябрь 2016
56342;27.10.2016
56342; 
57385;-
57385;-
57389;31 октября 2016 г.
57389;11 ноября 2016 г.
57395;28 октября 2016
57395;11 ноября 2016
57404;28.10.2016
57404;12.11.2016
57406;28 октября 2016
57406;11 ноября 2016
57436;31.10.2016 
57436;14.11.2016
57470;1 ноября 2016 года
57470;11 ноября 2016 года
57472;1 ноября 2016 года
57472;11 декабря 2016 года
57484;01.11.2016
57484;29.11.2016
57485;01.11.2016
57485;15.11.2016
57513;1 ноября 2016 г.
57513;15 ноября 2016 г.
57519;01.11.2016
57519;15.11.2016
57522;01.11.2016
57522;15.11.16
57533;-
57533;-
57552;31.10.2016
57552;20.11.2016
57556;02.11.2016
57556;16.11.2016
57557;02.11.2016
57557;16.11.2016
57562;02 ноября 2016
57562;16 ноября 2016
57563;02.11.2016
57563;16.11.2016
57566;2 ноября 2016
57566;16 ноября 2016
58570;02.11.2016
58570;16.11.2016
58599;-
58599;-
58620;Уведомление не размещалось.
58620;Уведомление не размещалось.
58624;01.11.2016
58624;16.11.2016
58638;3 ноября 2016 г.
58638;25 января 2017 г.
58640;Нет данных
58640;Нет данных
58652;7 ноября 2016
58652;18 ноября 2016
58653;7.11.2016
58653;25.11.2016
58655;07 ноября 2016
58655;18 ноября 2016
58656;7.11.2016
58656;25.11.2016
58667;7 ноября 2016
58667;18 ноября 2016
58676; 
58676; 
58682; 
58682; 
58711;08.11.2016
58711;06.01.2017
58757;28.07.2017
58757;28.08.2017
58760;нет
58760;нет
58775;9 ноября 2016 г.
58775;22 ноября 2016 г.
58805;10.11.2016
58805; 
58816;0
58816;0
58821;28/11/2016
58821;09/12/2016
58823;28/11/2016
58823;08/12/2016
58825;10.11.2016
58825;01.12.2016
58830;10.11.2016
58830;11.01.2017
58845;10.11.2016
58845;25.11.2016
58852;Информация уточняется
58852;Информация уточняется
58853;Информация уточняется
58853;Информация уточняется
58901;11 ноября 2016 г.
58901;24 ноября 2016 г.
58943;14 ноября 2016 г.
58943;25 ноября 2016 г.
58945;14.11.2016
58945;25.11.2016
58948;14 ноября 2016 г.
58948;25 ноября 2016 г.
58953;нет
58953;нет
58976;04.04.2017
58976;13.04.2017
59012;15 ноября 2016 года
59012;28 ноября 2016 года
59023;15.11.2016
59023;24.11.2016
59029;03.10.2016
59029;17.10.2016
59039;16.11.2016
59039;29.11.2016
59042;16 ноября 2016 г.
59042;29 ноября 2016 г.
59044;16 ноября 2016 г.
59044;29 ноября 2016 г.
59047;16 ноября 2016
59047;29 ноября 2016
59048;16 ноября 2016 г.
59048;29 ноября 2016 г.
59055;16.11.2016
59055;29.11.2016
59059;-
59059;-
59063;16 ноября 2016
59063;29 ноября 2016
59074;16.11.2016
59074;6.12.2016
59098;Отсутствуют
59098;Отсутствуют
59099;17.11.2016
59099;28.11.2016
59105;17.11.2016
59105;28.11.2016
59113;17.11.2016
59113;15.12.2016
59123;17.11.2016
59123;14.12.2016
59125;Информация уточняется.
59125;Информация уточняется.
59142;17.11.2016
59142;31.11.2016
59161;18.11.2016 г
59161;01.12.2016 г
59173;18.11.2016
59173;08.12.2016
59193;18.11.2016
59193;08.12.2016
59198;18 ноября 2016 г.
59198;08 декабря 2016 г.
59201;18 ноября 2016 г.
59201;01 декабря 2016 г.
59206; 
59206; 
59208;18 ноября 2016 г
59208;01 декабря 2016 г.
59212;18.11.2016
59212;08.12.2016	
59216;18.11.2016
59216;16.12.2016
59234;19.11.2016
59234;01.12.2016
59244;21.11.2016
59244;-
59297;-
59297;-
59300;21.11.2016 
59300;02.12.2016
59301;21.11.2016 
59301;02.12.2016
59306;14.12.2016
59306;24.12.2016
59309;нет
59309;нет
59312;.
59312;.
59315;-
59315;-
59319;22.11.2016
59319;12.12.2016
59320;22.11.2016
59320;05.12.2016
59322; 
59322; 
59330;13.12.2016
59330;02.01.2016
59334;2 февраля 2017 г.
59334;15 февраля 2017 г.
59354;22 ноября 2016 г.
59354;6 декабря 2016 г.
59355;Отсутствует
59355;Отсутствует
59357;22 ноября 2016 г.
59357;31 марта 2017 г.
59358;22 ноября 2016 г.
59358;5 декабря 2016 г.
59359;23.11.2016
59359;13.12.2016
59367;13.12.2016
59367;16.01.2017
59378;21.12.2016
59378;10.01.2016
59386;-
59386;-
59395;23.11.2016 г.
59395;20.12.2016 г.
59400;23.11.2016
59400;07.12.2016
59442;-
59442;-
59474;25.11.2016
59474;10.12.2016
59475;нет
59475;нет
59482;25.11.2016
59482;05.12.2016
59496;25.11.2016
59496;09.12.2016
59505;-
59505;-
59543;-
59543;-
59554;11.01.2017
59554;31.01.2017
59578;28 ноября 2016 г.
59578;09 декабря 2016 г.
59590;29 ноября 2016 г.
59590;19 декабря 2016 г.
59593;29.11.2016
59593;10.12.2016
59605;29.11.2016
59605;10.12.2016
59617;29 ноября 2016 г.
59617;12 декабря 2016 г.
59623;29.11.2016
59623;12.12.2016
59625;Этап уведомления отсутствует.
59625;Этап уведомления отсутствует.
59640;28.07.2017
59640;13.08.2017
59666;30.11.2016
59666;12.12.2016
59667;28.12.2016
59667;23.01.2017
59668;28.11.2017
59668;26.12.2017
59694; 06.12.2016
59694;19.12.2017
59719;01.12.2016
59719;14.12.2016
59727;01.12.2016
59727;14.12.2016
59747;"01.12.2016
"
59747;15.12.2016
59757;1 декабря 2016
59757;14 декабря 2016
59775;1.12.2016
59775;15.12.2016
59783; 
59783; 
59786;-
59786;-
59787;02.12.2016
59787;15.12.2016
59788;02.12.2016
59788;15.12.2016
59795;Нет
59795;Нет
59826;нет
59826;нет
59828;2 декабря 2016 г
59828;19 декабря 2016 г
59840;05.12.2016
59840;05.02.2016
59841;05.12.2016
59841;10.02.2017
59843;05.12.2016
59843;10.02.2017
59855;5 декабря 2016 г. 
59855;23 декабря 2016 г.
59857;05.12.2016
59857;15.12.2016
59858;05.12.2016
59858;16.12.2016
59865;06.12.2016
59865;19.12.2017
59867;05.12.2016
59867;16.12.2016
59869;-
59869;-
59925;9 ноября 2016 г.
59925;23 ноября 2016 г.
59958;06.12.2016
59958;19.12.2016
59964;06.12.2016
59964;16.12.2016
60012;09.03.2017
60012;06.04.2017
60014;07.12.2016
60014;"21.12.2016

02/08/12-16/00060014 "
60015;07 декабря 2016 г.
60015;20 декабря 2016 г. 
60031;07 декабря 2016 г.
60031;20 декабря 2016 г.
60032;21.12.2016
60032;04.01.2017
60042;7 декабря 2016 г.
60042;20 декабря 2016 г.
60066;-
60066;-
60068;не размещалось
60068;не размещалось
60073;8 декабря 2016 г.
60073;28 декабря 2016 г.
60093;отсутствует
60093;отсутствует
60099;12 декабря 2016 г.
60099;22 декабря 2016 г.
60101;09.01.2016
60101;03.02.2017
60109;09.12.2016 
60109;22.12.2016
60125;09.12.2016
60125;21.12.2016
60129;нет
60129;нет
60144;10 декабря 2016 г.
60144;27 декабря 2016 г. 
60152;12 декабря 2016 г.
60152;23 декабря 2016 г.
60155; 8 декабря 2016 г.
60155;27 января 2017 г.
60160;Этап уведомления отсутствует.
60160;Этап уведомления отсутствует.
60166;Этап уведомления отсутствует.
60166;Этап уведомления отсутствует.
60168;12.12.2016
60168;23.12.2016
60177; 
60177; 
60187;14 декабря 2016
60187;13 января 2017
60195;-
60195;-
60208; 
60208; 
60215;-
60215;-
60246;14 декабря 2017 г.
60246;28 декабря 2017 г.
60260; 
60260; 
60264;14.12.2017
60264;03.01.2017
60267;14.12.2017
60267;28.12.2017
60296;15 декабря 2016 г.
60296;28 декабря 2016 г.
60304;15 декабря 2017 г.
60304;21 февраля 2017 г.
60335;-
60335;-
60357;16 декабря 2016 г.
60357;29 декабря 2016 г.
60359;16.12.2016
60359;29.12.2016
60366;16.12.2016
60366;30.12.2016
60402;19.12.2016
60402;30.01.2016
60405;19.12.2016
60405;30.12.2016
60408;19.12.2016
60408;30.12.2016
60412;-
60412;-
60416; 
60416; 
60426;«19» декабря 2016 г.
60426;«02» января 2017 г.
60431;19.12.2016
60431;30.12.2016
60433;19 декабря 2016 г.
60433;30 декабря 2016 г.
60444;20.12.2016
60444;09.01.2017
60448;нет
60448;нет
60465;20.12.2016
60465;27.02.2017
60476;30.01.2017
60476;01.03.2017
60492; 
60492; 
60507;21.12.2016
60507;11.01.2017
60519;-
60519;-
60524;22.12.2016
60524;11.01.2017
60527;21.12.2016
60527;15.05.2018
60544;23.12.2016
60544; 
60566;Нет
60566;Нет
60567;23.12.2016
60567;23.03.2017
60575;22.12.2016
60575;11.01.2017
60592;-
60592;-
60595;нет
60595;нет
60598;23.12.2016 г.
60598;12.01.2017 г.
60603;23.12.2016
60603;12.01.2017
60618;23.12.2016
60618;12.01.2017
60627;нет
60627;нет
60628;Нет
60628;Нет
60638;«23» декабря 2016 г.
60638;«13» января 2017 г.
60649;09.01.2017
60649;20.01.2017
60655;23.12.2016
60655;12.01.2017
60685;26 декабря 2016 г.
60685;26 января 2017 г.
60693;26.12.2016 
60693;13.01.2017
60698;23.12.2016
60698;14.01.2017
60702;Нет
60702;Нет
60713;27.12.2016
60713;01.02.2017
60718;27.12.2016
60718;16.01.2017
60723;27.12.2016
60723;25.01.2017
60733; 
60733; 
60739;28.12.2016
60739;17.01.2017
60744;28.12.2016
60744;19.01.2017
60758; 
60758; 
60767;28 декабря 2016 года
60767;7 февраля 2017 года
60774;нет
60774;нет
60777;-
60777;-
60783;31.01.2017
60783;05.04.2017
60784;29.12.2016
60784;18.01.2017
60787;28.12.2016
60787;17.01.2017
60789;22.12.2016
60789;17.01.2017
60807;-
60807;-
60816;29.12.2016
60816;19.01.2017
60819;информация уточняется
60819;информация уточняется
60829;29 декабря 2016 г.
60829;18 января 2017 г.
60835;"""___"" декабря 2016 г."
60835;"""___"" января 2017 г."
60841;29.12.2016
60841;18.01.2017
60842;«21» декабря 2016 г.
60842;«18» января 2017 г.
60843; 
60843; 
60852;29.12.2016
60852;25.01.2017
60861;Нет информации
60861;Нет информации
60891;«30» декабря 2016 г.
60891;«20» января 2017 г.
60897;30 декабря 2016 г.
60897;20 января 2017 г.
60901;30.12.2016
60901;09.03.2017
60905;«30» декабря 2016 г.
60905;«19» января 2017 г.
60924;30.12.2016
60924;19.01.2017
60943;09.01.2017
60943;21.01.2017
60961;10 января 2017 г.
60961;30 января 2017 г.
60967;10.01.2017
60967;24.01.2017
60975;Уведомление не размещалось.
60975;Уведомление не размещалось.
60991;12.01.2017
60991;25.01.2017
60998;11 января 2017 г.
60998;31 января 2017 г.
61005;11.01.2017  
61005;24.01.2017
61009;11 января 2017 г.
61009;1 февраля 2017 г.
61014;12.01.2017
61014;24.01.2017
61021;13.01.2017 г.
61021;26.01.2017 г.
61026;11 января 2017 
61026;24 января 2017 г.
61027;12 января 2017 года
61027;1 февраля 2017 года
61048;14.02.2017
61048;10.03.2017
61053;12 января 2017 года
61053;25 января 2017 года
61062;нет
61062;нет
61078;нет
61078;нет
61080;17.10.2016
61080;15.12.2016
61085;13.01.2017
61085;02.02.2017
61087;13.12.2016
61087;27.12.2016
61107;15 января 2017 года
61107;26 января 2017 года
61108;09.09.2016
61108;23.09.2016
61112;16.01.2017
61112;03.02.2017
61123;01.02.2017
61123;20.02.2017
61130;16 января 2017 г.
61130;27 января 2076 г.
61132;16.01.2017
61132;27.01.2017
61135;16 января 2017
61135;27 января 2017
61144;16 января 2017 г.
61144;27 января 2017 г.
61147;16.01.2017
61147;02.02.2017
61149;«16» января 2017 г.
61149;«27» января 2017 г.
61155;16.01.2017
61155;27.01.2017
61164;11 января 2017 г.
61164;30 января 2017 г.
61167;17.01.2017
61167;30.01.2017
61169;«30» января 2017 г.
61169;«10» февраля 2017 г.
61177;17.01.2017
61177;30.01.2017
61189;начало: «17» января 2017 г.
61189;окончание: «31» января 2017 г.
61201;17.01.2017
61201;30.01.2017
61209;18.01.2017
61209;31.01.2017
61244;19.01.2017
61244;01.02.2017
61269;«19»  января  2017 г.
61269;«8»  февраля  2017 г.
61284;информация уточняется
61284;информация уточняется
61285;информация уточняется
61285;информация уточняется
61287;03.02.2017
61287;01.03.2017
61291;20.01.2017
61291;03.02.2017
