regulation_project_id;Прогноз количественной динамики структуры регулируемых субъектов по категориям при введении предлагаемого регулирования;Микропредприятия;Малыепредприятия;Средниепредприятия
7981;-;-;-;-
7981;-;-;-;-
15247;-;-;-;-
15247;-;-;-;-
17151;-;-;-;-
17151;-;-;-;--
18827;-;-;-;-
18827;-;-;-;-
18888;-;-;-;-
18888;Отсутствует;Отсутствует;Отсутствует;Отсутствует
20305;-;-;-;-
20305;-;-;-;-
40884;-;-;-;-
40884;-;-;-;-
45699;информация уточняется;информация уточняется;информация уточняется;информация уточняется
45699;информация уточняется;информация уточняется;информация уточняется;информация уточняется
47032;не оценивается;0;0;0
47032;не оценивается (нет данных о владельцах мелиоративных систем в такой градации);0;0;0
47262;Информация отсутствует;Информация отсутствует;Информация отсутствует;Информация отсутствует
47262;Информация отсутствует;Информация отсутствует;Информация отсутствует;Информация отсутствует
47274;уточняется;уточняется;уточняется;уточняется
47274;уточняется;уточняется;уточняется;уточняется
47312;информация уточняется;информация уточняется;информация уточняется;информация уточняется
47312;информация уточняется;информация уточняется;информация уточняется;информация уточняется
47356;информация уточняется;информация уточняется;информация уточняется;информация уточняется
47356;информация уточняется;информация уточняется;информация уточняется;информация уточняется
47365;информация уточняется;информация уточняется;информация уточняется;информация уточняется
47365;информация уточняется;информация уточняется;информация уточняется;информация уточняется
47369;информация уточняется;информация уточняется;информация уточняется;информация уточняется
47369;информация уточняется;информация уточняется;информация уточняется;информация уточняется
47371;информация уточняется;информация уточняется;информация уточняется;информация уточняется
47371;информация уточняется;информация уточняется;информация уточняется;информация уточняется
47428;информация уточняется;информация уточняется;информация уточняется;информация уточняется
47428;информация уточняется;информация уточняется;информация уточняется;информация уточняется
47431;Информация уточняется;Информация уточняется;Информация уточняется;Информация уточняется
47431;Информация уточняется;Информация уточняется;Информация уточняется;Информация уточняется
47473;информация уточняется;информация уточняется;информация уточняется;информация уточняется
47473;информация уточняется;информация уточняется;информация уточняется;информация уточняется
50240;-;-;-;-
50240;-;-;-;-
52754;отсутствует;отсутствует;отсутствует;отсутствует
52754;отсутствует;отсутствует;отсутствует;отсутствует
55324;отсутствует;отсутствует;отсутствует;отсутствует
55324;отсутствует;отсутствует;отсутствует;отсутствует
61009;доля среднесписочной численности работников;увеличение;стагнация;увеличение
61009;количество субъектов;увеличение;стагнация;увеличение
61635;-;-;-;-
61635;--;-;-;-
61890;Организации отдыха детей и их оздоровления (микропредприятия, малые предприятия, средние предприятия), не соответствующие требованиям законодательства Российской Федерации не будут включены в реестры организаций отдыха детей и их оздоровления, соответственно обязаны прекратить осуществление деятельности по отдыху и оздоровлению детей;0;0;0
62214;нет данных;нет данных;нет данных;нет данных
62214;нет данных;нет данных;нет данных;нет данных
62515;нет;нет;нет;нет
62515;нет;нет;нет;нет
62518;нет;нет;нет;нет
62518;нет;нет;нет;нет
62668;(год 1);-;-;-
62668;(год N);-;-;-
62982;нет;нет;нет;нет
62982;нет;нет;нет;нет
63244;Отсутствует;Отсутствуют;Отсутствуют;Отсутствуют
63244;Отсутствует;Отсутствуют;Отсутствуют;Отсутствуют
63261;информация уточняется;информация уточняется;информация уточняется;информация уточняется
63261;информация уточняется;информация уточняется;информация уточняется;информация уточняется
63265;информация уточняется;информация уточняется;информация уточняется;информация уточняется
63265;информация уточняется;информация уточняется;информация уточняется;информация уточняется
63540;Отсутствуют;Отсутствуют;Отсутствуют;Отсутствуют
63540;Отсутствуют;Отсутствуют;Отсутствуют;Отсутствуют
63639;-;-;-;-
63639;--;-;-;-
63710;___________________________________________________;______________________________________________________________________;__________________________________________________________________;______________________________
63710;____________________________________________________;______________________________________________________________________;__________________________________________________________________;______________________________
63800;-;-;-;-
63800;-;-;-;-
64001;-;-;-;-
64001;-;-;-;-
64031;-;-;-;-
64031;-;-;-;-
64124;(год 1);-;-;-
64124;(год N);-;-;-
64133;(год 1);-;-;-
64133;-;-;-;-
64136;Информация уточняется;Информация уточняется;Информация уточняется;Информация уточняется
64136;Информация уточняется;Информация уточняется;Информация уточняется;Информация уточняется
64363;-;-;-;-
64363;-;-;-;-
64413;-;-;-;-
64413;-;-;-;-
64502;-;-;-;-
64502;-;-;-;-
64514;нет;нет;нет;нет
64514;нет;нет;нет;нет
64555;Информация уточняется;Информация уточняется;Информация уточняется;Информация уточняется
64555;Информация уточняется;Информация уточняется;Информация уточняется;Информация уточняется
64599;-;-;-;-
64599;-;-;-;-
64604;-;-;-;-
64604;-;-;-;-
64613;Информация уточняется;Информация уточняется;Информация уточняется;Информация уточняется
64613;Информация уточняется;Информация уточняется;Информация уточняется;Информация уточняется
65854;Информация уточняется.;Информация уточняется.;Информация уточняется.;Информация уточняется.
65854;Информация уточняется.;Информация уточняется.;Информация уточняется.;Информация уточняется.
66048;Отсутствует;Отсутствует;Отсутствует;Отсутствует
66048;Отсутствует;Отсутствует;Отсутствует;Отсутствует
66675;м;Отсутствует;Отсутствует;Отсутствует
66675;м;Отсутствует;Отсутствует;Отсутствует
66681;отсутствует;отсутствует;отсутствует;отсутствует
66681;отсутствует;отсутствует;отсутствует;отсутствует
66768;-;-;-;-
66768;-;-;-;-
66959;нет;нет;нет;нет
66959;нет;нет;нет;нет
67043;нет;нет;нет;нет
67043;нет;нет;нет;нет
67056;изменения, предусмотренные проектом постановления, не влияют на количественную динамику структуры регулируемых субъектов;-;-;-
67056;изменения, предусмотренные проектом постановления, не влияют на количественную динамику структуры регулируемых субъектов;-;-;-
67197;данные отсутствуют;данные отсутствуют;данные отсутствуют;данные отсутствуют
67197;данные отсутствуют;данные отсутствуют;данные отсутствуют;данные отсутствуют
67291;-;-;-;-
67291;-;-;-;-
67584;нет;нет;нет;нет
67584;нет;нет;нет;нет
67633;-;-;-;-
67633;-;-;-;-
67683;количественная динамика отсутствует;0;0;0
67683;количественная динамика отсутствует;0;0;0
67764;-;-;-;-
67764;-;-;-;-
67967;не имеется;не имеется;не имеется;не имеется
