regulation_project_id;Прогноз количественной динамики структуры регулируемых субъектов по категориям при введении предлагаемого регулирования;Микропредприятия;Малыепредприятия;Средниепредприятия
67967;не имеется;не имеется;не имеется;не имеется
67976;-;-;-;-
67976;-;-;-;-
68082;отсутствуют;отсутствуют;отсутствуют;отсутствуют
68082;отсутствуют;отсутствуют;отсутствуют;отсутствуют
68186;-;-;-;-
68186;-;-;-;-
68227;Информация уточняется;Информация уточняется;Информация уточняется;Информация уточняется
68227;Информация уточняется;Информация уточняется;Информация уточняется;м
68393;Информация отсутствует;Информация отсутствует;Информация отсутствует;Информация отсутствует
68393;Информация отсутствует;Информация отсутствует;Информация отсутствует;Информация отсутствует
68399;-;-;-;-
68399;-;-;-;-
69602;-;-;-;-
69602;отсутствует;0;0;0
69666;-;-;-;-
69666;не предусматривается;-;-;-
69734;-;-;-;-
69734;нет.;-;-;-
69880;-;-;-;-
69880;-;-;-;-
69975;анализ не производился;анализ не производился;анализ не производился;анализ не производился
69975;анализ не производился;анализ не производился;анализ не производился;анализ не производился
69980;анализ не проводился;анализ не проводился;анализ не проводился;анализ не проводился
69980;анализ не проводился;анализ не проводился;анализ не проводился;анализ не проводился
70040;-;-;-;-
70040;-;-;-;-
70133;Информация уточняется;Информация уточняется;Информация уточняется;Информация уточняется
70133;Информация уточняется;Информация уточняется;Информация уточняется;Информация уточняется
70195;-;-;-;-
70195;-;-;-;-
71277;отсутствует;отсутствует;отсутствует;отсутствует
71277;отсутствует;отсутствует;отсутствует;отсутствует
71333;-;-;-;-
71333;-;-;-;-
71422;отсутствует;отсутствует;отсутствует;отсутствует
71422;отсутствует;отсутствует;отсутствует;отсутствует
71435;-;-;-;-
71435;-;-;-;-
71438;-;-;-;-
71438;-;-;-;-
72508;-;-;-;-
72508;-;-;-;-
72582;-;-;-;-
72582;-;-;-;-
72605;-;-;-;-
72605;-;-;-;-
72615;прорабатывается;прорабатывается;прорабатывается;прорабатывается
72615;прорабатывается;прорабатывается;прорабатывается;прорабатывается
72636;-;-;-;-
72636;-;-;-;-
72654;-;-;-;-
72654;-;-;-;-
72798;-;-;-;-
72798;-;-;-;-
72800;-;-;-;-
72800;-;-;-;-
72801;-;-;-;-
72801;-;-;-;-
72802;(год 1) отсутствует;отсутствует;отсутствует;отсутствует
72802;(год N);-;-;-
72805;Отсутствует;Отсутствует;Отсутствует;Отсутствует
72805;Отсутствует;Отсутствует;Отсутствует;Отсутствует
73008;Отсутствуют;Отсутствуют;Отсутствуют;Отсутствуют
73008;Отсутствуют;Отсутствуют;Отсутствуют;Отсутствуют
73084;нет информации;нет информации;нет информации;нет информации
73084;нет информации;нет информации;нет информации;нет информации
73094;отсутствует;отсутствует;отсутствует;отсутствует
73094;отсутствует;отсутствует;отсутствует;отсутствует
73099;-;-;-;-
73099;-;-;-;-
73130;-;-;-;-
73130;-;-;-;-
73144;(год 1);-;-;-
73144;(год N);-;-;-
73154;Отсутствует;Отсутствует;Отсутствует;Отсутствует
73154;Отсутствует;Отсутствует;Отсутствует;Отсутствует
73177;-;-;-;-
73177;-;-;-;-
73189;Отсутствуют;Отсутствуют;Отсутствуют;Отсутствуют
73189;Отсутствуют;Отсутствуют;Отсутствуют;Отсутствуют
73210;-;-;-;-
73210;-;-;-;-
73238;отсутствует;нет;нет;нет
73238;отсутствует;нет;нет;нет
73279;-;-;-;-
73279;Не ожидается изменение структуры;-;-;-
73300;нет;нет;нет;нет
73300;нет;нет;нет;нет
73308;нет;нет;нет;нет
73308;нет;нет;нет;нет
73424;-;-;-;-
73424;-;-;-;-
73439;информация уточняется;информация уточняется;информация уточняется;информация уточняется
73439;информация уточняется;информация уточняется;информация уточняется;информация уточняется
73491;информация уточняется;информация уточняется;информация уточняется;информация уточняется
73491;информация уточняется;информация уточняется;информация уточняется;информация уточняется
73540;-;-;-;-
73540;-;-;-;-
73617;-;-;-;-
73617;-;-;-;-
73808;нет;нет;нет;нет
73808;нет;нет;нет;не
73939;(год 1);отсутствует;отсутствует;отсутствует
73939;(год N);отсутствует;отсутствует;отсутствует
73942;(год 1) отсутствует;отсутствует;отсутствует;отсутствует
73942;(год N) отсутствует;отсутствует;отсутствует;отсутствует
73980;-;-;-;-
73980;-;-;-;-
74031;(год 1);Отсутствует;Отсутствует;Отсутствует
74031;(год N);Отсутствует;Отсутствует;Отсутствует
74205;Отсутствуют;Отсутствуют;Отсутствуют;Отсутствуют
74205;Отсутствуют;Отсутствуют;Отсутствуют;Отсутствуют
74221;(год 1);-;-;-
74221;(год №);-;-;-
74257;-;-;-;-
74257;-;-;-;-
74260;-;-;-;-
74260;-;-;-;-
74339;отсутствует;0;0;0
74339;отсутствует;0;0;0
74353;-;-;-;-
74353;-;-;-;-
74462;Отсутствует;Отсутствует;Отсутствует;Отсутствует
74462;Отсутствует;Отсутствует;Отсутствует;Отсутствует
74495;Отсутствует;Отсутствует;Отсутствует;Отсутствует
74495;Отсутствует;Отсутствует;Отсутствует;Отсутствует
74502;Отсутствует;Отсутствует;Отсутствует;Отсутствует
74502;Отсутствует;Отсутствует;Отсутствует;Отсутствует
74514;Отсутствует;Отсутствует;Отсутствует;Отсутствует
74514;Отсутствуют;Отсутствуют;Отсутствуют;Отсутствуют
74517;Отсутствует;Отсутствует;Отсутствует;Отсутствует
74517;Отсутствует;Отсутствует;Отсутствует;Отсутствует
74521;-;-;-;-
74521;-;-;-;-
74529;Отсутствует;Отсутствуют;Отсутствуют;Отсутствуют
74529;Отсутствует;Отсутствуют;Отсутствуют;Отсутствуют
74617;-;-;-;-
74617;-;-;-;-
74622;Отсутствуют;Отсутствуют;Отсутствуют;Отсутствуют
74622;Отсутствуют;Отсутствуют;Отсутствуют;Отсутствуют
74754;нет;нет;нет;нет
74754;нет;нет;нет;нет
74761;нет.;нет.;нет.;нет.
74761;нет.;нет.;нет.;нет.
74840;нет;нет;нет;нет
74840;нет;нет;нет;нет
75058;нет;нет;нет;нет
75058;нет;нет;нет;нет
75063;отсутствуют;отсутствуют;отсутствуют;отсутствуют
75063;отсутствуют;отсутствуют;отсутствуют;отсутствуют
75064;нет;нет;нет;нет
75064;нет;нет;нет;нет
75183;-;-;-;-
75183;-;-;-;-
75242;отсутствует;отсутствует;отсутствует;отсутствует
75242;отсутствует;отсутствует;отсутствует;отсутствует
75399;(год 1);0;0;0
75399;-;-;-;-
75641;-;-;-;-
75641;-;-;-;-
75673;-;-;-;-
75673;-;-;-;-
75848;Отсутствует;Отсутствует;Отсутствует;Отсутствует
75848;Отсутствует;Отсутствует;Отсутствует;Отсутствует
75986;-;-;-;-
75986;отсутствует;0;0;0
76008;Нет данных;Нет данных;Нет данных;Нет данных
76008;Нет данных;Нет данных;Нет данных;Нет данных
76042;(год 1);-;-;-
76042;(год №);-;-;-
76049;-;-;-;-
76049;-;-;-;-
76089;не применимо;не применимо;не применимо;не применимо
76089;не применимо;не применимо;не применимо;не применимо
76127;-;-;-;-
76127;не предусматривается;-;-;-
76131;-;--;-;-
76131;не предусматривается;-;-;-
76166;не предусматривается;-;-;-
76166;не предусматривается;-;-;-
76208;-;-;-;-
76208;-;-;-;-
76383;-;-;-;-
76383;-;-;-;-
76395;отсутствуют;отсутствуют;отсутствуют;отсутствуют
76395;отсутствуют;отсутствуют;отсутствуют;отсутствуют
76538;нет;нет;нет;нет
76538;нет;нет;нет;нет
76567;нет;нет;нет;нет
76567;нет;нет;нет;нет
76581;информация отсутствует;информация отсутствует;информация отсутствует;информация отсутствует
76581;информация отсутствует;информация отсутствует;информация отсутствует;информация отсутствует
76633;-;-;-;-
76633;-;-;-;-
76640;(год 1);-;-;-
76640;(год N);-;-;-
76666;отсутствует;отсутствует;отсутствует;отсутствует
76666;отсутствует;отсутствует;отсутствует;отсутствует
76673;-;-;-;-
76673;-;-;-;-
76705;Оценка не производилась;Оценка не производилась;Оценка не производилась;Оценка не производилась
76705;Оценка не производилась;Оценка не производилась;Оценка не производилась;Оценка не производилась
76711;нет данных;нет данных;нет данных;нет данных
76711;нет данных;нет данных;нет данных;нет данных
76953;(год 1);-;-;-
76953;(год №);-;-;-
76961;-;-;-;-
76961;-;-;-;-
77137;Отсутствуют;Отсутствуют;Отсутствуют;Отсутствуют
77137;Отсутствуют;Отсутствуют;Отсутствуют;Отсутствуют
77189;данные отсутствуют;данные отсутствуют;данные отсутствуют;данные отсутствуют
77189;данные отсутствуют;данные отсутствуют;данные отсутствуют;данные отсутствуют
77190;-;-;-;-
77190;-;-;-;-
77263;(год 1);-;-;-
77263;(год N);-;-;-
77264;Отсутствует;Отсутствует;Отсутствует;Отсутствует
77264;Отсутствует;Отсутствует;Отсутствует;Отсутствует
77287;отсутствует;нет данных;нет данных;нет данных
77287;отсутствует;нет данных;нет данных;нет данных
77293;не выявлено;не выявлено;не выявлено;не выявлено
77293;не выявлено;не выявлено;не выявлено;не выявлено
77295;150;130;20;0
77295;не выявлено;не выявлено;не выявлено;не выявлено
77303;нет данных;нет данных;нет данных;нет данных
77303;нет данных;нет данных;нет данных;нет данных
77383;-;-;-;-
77383;-;-;-;-
77411;Оценка не производилась;Отсутствует;Отсутствует;Отсутствует
77411;Оценка не производилась;Отсутствует;Отсутствует;Отсутствует
77491;-;-;-;-
77491;-;-;-;-
77521;Информация отсутствует;Информация отсутствует;Информация отсутствует;Информация отсутствует
77521;Информация отсутствует;Информация отсутствует;Информация отсутствует;Информация отсутствует
77585;-;-;-;-
77585;-;-;-;-
77599;Отсутствует;Отсутствует;Отсутствует;Отсутствует
77599;Отсутствует;Отсутствует;Отсутствует;Отсутствует
77637;-;-;-;-
77637;-;-;-;-
77644;-;-;-;-
77644;-;-;-;-
77693;отсутствует;-;-;-
77693;отсутствует;-;-;-
77736;Не предусмотрен;Отсутствуют;Отсутствуют;Отсутствуют
77736;Не предусмотрен;Отсутствуют;Отсутствуют;Отсутствуют
77738;-;-;-;-
77738;-;-;-;-
77743;-;-;-;-
77743;-;-;-;-
77744;-;-;-;-
77744;-;-;-;-
77747;-;-;-;-
77747;-;-;-;-
77749;-;-;-;-
77749;-;-;-;-
77754;-;-;-;-
77754;-;-;-;-
77763;-;-;-;-
77763;-;-;-;-
77807;не применимо;не применимо;не применимо;не применимо
77807;не применимо;не применимо;не применимо;не применимо
77814;Останется неизменной;Останется неизменной;Останется неизменной;Останется неизменной
77814;Останется неизменной;Останется неизменной;Останется неизменной;Останется неизменной
77904;-;нет;нет;нет
77904;-;нет;нет;нет
77917;-;-;-;-
77917;-;-;-;-
77929;Законопроект не влияет на деятельность субъектов малого и среднего предпринимательства;0;0;0
77929;Законопроект не влияет на деятельность субъектов малого и среднего предпринимательства;0;0;0
77952;-;-;-;-
77952;-;-;-;-
77973;нет данных;нет данных;нет данных;нет данных
77973;нет данных;нет данных;нет данных;нет данных
77974;нет данных;нет данных;нет данных;нет данных
77974;нет данных;нет данных;нет данных;нет данных
77976;нет данных;нет данных;нет данных;нет данных
77976;нет данных;нет данных;не данных;нет данных
77978;нет данных;нет данных;нет данных;нет данных
77978;нет данных;нет данных;нет данных;нет данных
78020;отсутствует;-;-;-
78020;отсутствует;-;-;-
78022;нет;нет;нет;нет
78022;нет;нет;нет;нет
78082;-;-;-;-
78082;-;-;-;-
78158;-;-;-;-
78158;-;-;-;-
78234;отсутствует;0;0;0
78234;отсутствует;0;0;0
78244;-;-;-;-
78244;-;-;-;-
78331;-;-;-;-
78331;-;-;-;-
78360;-;-;-;-
78360;-;-;-;-
78407;Информация отсутствует;Информация отсутствует;Информация отсутствует;Информация отсутствует
78407;Информация отсутствует;Информация отсутствует;Информация отсутствует;Информация отсутствует
78412;Информация отсутствует;Информация отсутствует;Информация отсутствует;Информация отсутствует
78412;Информация отсутствует;Информация отсутствует;Информация отсутствует;Информация отсутствует
78413;Информация отсутствует;Информация отсутствует;Информация отсутствует;Информация отсутствует
78413;Информация отсутствует;Информация отсутствует;Информация отсутствует;Информация отсутствует
78415;Информация отсутствует;Информация отсутствует;Информация отсутствует;Информация отсутствует
78415;Информация отсутствует;Информация отсутствует;Информация отсутствует;Информация отсутствует
78417;Отсутствует;Отсутствует;Отсутствует;Отсутствует
78417;Отсутствует;Отсутствует;Отсутствует;Отсутствует
78461;нет;нет;нет;нет
78461;нет;нет;нет;нет
78465;-;-;-;-
78465;-;-;-;-
78495;не применимо;не применимо;не применимо;не применимо
78495;не применимо;не применимо;не применимо;не применимо
78506;отсутствует;отсутствует;отсутствует;отсутствует
78506;отсутствует;отсутствует;отсутствует;отсутствует
78508;отсутствует;отсутствует;отсутствует;отсутствует
78508;отсутствует;отсутствует;отсутствует;отсутствует
78511;отсутствует;отсутствует;отсутствует;отсутствует
78511;отсутствует;отсутствует;отсутствует;отсутствует
78512;отсутствует;отсутствует;отсутствует;отсутствует
78512;отсутствует;отсутствует;отсутствует;отсутствует
78513;отсутствуют;отсутствуют;отсутствуют;отсутствуют
78513;отсутствуют;отсутствуют;отсутствуют;отсутствуют
78516;отсутствуют;отсутствуют;отсутствуют;отсутствуют
78516;отсутствуют;отсутствуют;отсутствуют;отсутствуют
78522;отсутствует;отсутствует;отсутствует;отсутствует
78522;отсутствует;отсутствует;отсутствует;отсутствует
78577;-;-;-;-
78577;-;-;-;-
78654;-;-;-;-
78654;-;-;-;-
78711;Отсутствует;Отсутствует;Отсутствует;Отсутствует
78711;Отсутствует;Отсутствует;Отсутствует;Отсутствует
78731;отсутствуют;отсутствуют;отсутствуют;отсутствуют
78731;отсутствуют;отсутствуют;отсутствуют;отсутствуют
78735;-;-;-;-
78735;-;-;-;-
78788;-;-;-;-
78788;-;-;-;-
78798;отсутствуют;отсутствуют;отсутствуют;отсутствуют
78798;отсутствуют;отсутствуют;отсутствуют;отсутствуют
78799;Информация отсутствует;Информация отсутствует;Информация отсутствует;Информация отсутствует
78799;Информация отсутствует;Информация отсутствует;Информация отсутствует;Информация отсутствует
78801;информация отсутствует;информация отсутствует;информация отсутствует;информация отсутствует
78801;информация отсутствует;информация отсутствует;информация отсутствует;информация отсутствует
78803;Информация отсутствует;Информация отсутствует;Информация отсутствует;Информация отсутствует
78803;Информация отсутствует;Информация отсутствует;Информация отсутствует;Информация отсутствует
78853;нет;нет;нет;нет
78853;нет;нет;нет;нет
78933;-;-;-;-
78933;-;-;-;-
79099;-;Количественные данные структуры отсутствуют;Количественные данные структуры отсутствуют;Количественные данные структуры отсутствуют
79099;Предлагаемое регулирование не повлияет на количественную динамику структуры регулируемых субъектов по категориям;Количественные данные структуры отсутствуют;Количественные данные структуры отсутствуют;Количественные данные структуры отсутствуют
79194;Отсутствуют;Отсутствуют;Отсутствуют;Отсутствуют
79194;Прогнозируется увеличение добросовестных собственников использующих земли сельскохозяйственного назначения для сельскохозяйственного производства;Отсутствуют;Появление стимулов для использования сельскохозяйственных земель по целевому назначению.;Появление стимулов для использования сельскохозяйственных земель по целевому назначению.
79259;-;-;-;-
79259;-;-;-;-
79268;-;-;-;-
79268;-;-;-;-
79279;-;-;-;-
79279;изменение структуры не ожидается;-;-;-
79314;-;-;-;-
79314;-;-;-;-
79336;-;-;-;-
79336;-;-;-;-
79417;-;-;-;-
79417;-;-;-;-
79428;Отсутствует;Отсутствует;Отсутствует;Отсутствует
79428;Отсутствует;Отсутствует;Отсутствует;Отсутствует
79441;-;-;-;-
79441;-;-;-;-
79443;Отсутствует;Отсутствует;Отсутствует;Отсутствует
79443;Отсутствует;Отсутствует;Отсутствует;Отсутствует
79494;Отсутствует;Отсутствует;Отсутствует;Отсутствует
79494;Отсутствует;Отсутствует;Отсутствует;Отсутствует
79616;уточняется;уточняется;уточняется;уточняется
79616;уточняется;уточняется;уточняется;уточняется
79618;информация уточняется;информация уточняется;информация уточняется;информация уточняется
79618;информация уточняется;информация уточняется;информация уточняется;информация уточняется
79621;информация уточняется;информация уточняется;информация уточняется;информация уточняется
79621;информация уточняется;информация уточняется;информация уточняется;информация уточняется
79683;отсутсвует;отсутсвует;отсутсвует;отсутсвует
79683;отсутсвует;отсутсвует;отсутсвует;отсутсвует
79688;-;-;-;-
79688;-;-;-;-
79694;Отсутствует;Отсутствует;Отсутствует;Отсутствует
79694;Отсутствует;Отсутствует;Отсутствует;Отсутствует
79719;-;-;-;-
79719;-;-;-;-
79790;В настоящее время невозможно спрогнозировать;В настоящее время невозможно спрогнозировать;В настоящее время невозможно спрогнозировать;В настоящее время невозможно спрогнозировать
79790;В настоящее время невозможно спрогнозировать;В настоящее время невозможно спрогнозировать;В настоящее время невозможно спрогнозировать;В настоящее время невозможно спрогнозировать
79802;-;-;-;-
79802;-;-;-;-
79916;-;-;-;-
79916;-;-;-;-
79996;-;-;-;-
79996;-;-;-;-
80081;информация уточняется;информация уточняется;информация уточняется;информация уточняется
80081;информация уточняется;информация уточняется;информация уточняется;информация уточняется
80110;____________________________________________________;_______________________________________________________________________;___________________________________________________________________;______________________________
80110;____________________________________________________;_______________________________________________________________________;___________________________________________________________________;______________________________
80166;-;-;-;-
80166;-;-;-;-
80310;-;-;-;-
80310;-;-;-;-
80315;Отсутствует;Отсутствует;Отсутствует;Отсутствует
80315;Отсутствует;Отсутствует;Отсутствует;Отсутствует
80377;нет;нет;нет;нет
80377;нет;нет;нет;нет
80385;Информация отсутствует;Информация отсутствует;Информация отсутствует;Информация отсутствует
80385;Информация отсутствует;Информация отсутствует;Информация отсутствует;Информация отсутствует
80398;оценка не проводилась;оценка не проводилась;оценка не проводилась;оценка не проводилась
80398;оценка не проводилась;оценка не проводилась;оценка не проводилась;оценка не проводилась
80403;Не предусмотрен;Отсутствуют;Отсутствуют;Отсутствуют
80403;Не предусмотрен;Отсутствуют;Отсутствуют;Отсутствуют
80404;Отсутствуют;Отсутствуют;Отсутствуют;Отсутствуют
80404;Отсутствуют;Отсутствуют;Отсутствуют;Отсутствуют
80406;отсутствует;отсутствует;отсутствует;отсутствует
80406;отсутствует;отсутствует;отсутствует;отсутствует
80425;-;-;-;-
80425;Уровень влияния не зависит от масштаба деятельности организации.;-;-;-
80433;-;-;-;-
80433;-;-;-;-
80452;-;-;-;-
80452;-;-;-;-
80489;-;-;-;-
80489;-;-;-;-
80545;-;-;-;-
80545;-;-;-;-
80581;Прогноз динамики отсутствует;0;0;0
80581;Прогноз динамики отсутствует;0;0;0
80749;-;-;-;-
80749;-;-;-;-
80751;-;-;-;-
80751;-;-;-;-
80827;-;-;-;-
80827;-;-;-;-
80870;-;-;-;-
80870;нет информации для оценки;нет информации для оценки;нет информации для оценки;нет информации для оценки
80880;Организации отдыха детей и их оздоровления (микропредприятия, малые предприятия, средние предприятия), не соответствующие требованиям законодательства Российской Федерации не будут включены в реестры, соответственно обязаны прекратить осуществление деятельности по отдыху и оздоровлению детей;0;0;0
80902;-;-;-;-
80902;-;-;-;-
80942;-;-;-;-
80942;-;-;-;-
80945;-;-;-;-
80945;-;-;-;-
81049;-;-;-;-
81049;-;-;-;-
81059;отсутствует;-;-;-
81059;отсутствует;-;-;-
81180;информация уточняется;информация уточняется;информация уточняется;информация уточняется
81180;информация уточняется;информация уточняется;информация уточняется;информация уточняется
81192;Отсутствуют;Отсутствуют;Отсутствуют;Отсутствуют
81192;Отсутствуют;Отсутствуют;Отсутствуют;Отсутствуют
81210;-;-;-;-
81210;-;-;-;-
81221;-;-;-;-
81221;-;-;-;-
81230;отсутствуют;отсутствуют;отсутствуют;отсутствуют
81230;отсутствуют;отсутствуют;отсутствуют;отсутствуют
81244;-;-;-;-
81244;-;-;-;-
81246;-;-;-;-
81246;-;-;-;-
81249;-;-;-;-
81249;-;-;-;-
81256;отсутствуют;отсутствуют;отсутствуют;отсутствуют
81256;отсутствуют;отсутствуют;отсутствуют;отсутствуют
81442;(год 1);-;-;-
81442;(год N);-;-;-
81518;-;-;-;-
81518;-;-;-;-
81583;-;-;-;-
81583;-;-;-;-
81691;-;-;-;-
81691;-;-;-;-
81703;Информация отсутствует;Информация отсутствует;Информация отсутствует;Информация отсутствует
81703;Информация отсутствует;Информация отсутствует;Информация отсутствует;Информация отсутствует
81711;Отсутствует;Отсутствует;Отсутствует;Отсутствует
81711;Отсутствует;Отсутствует;Отсутствует;Отсутствует
81718;Информация отсутствует;Информация отсутствует;Информация отсутствует;Информация отсутствует
81718;Информация отсутствует;Информация отсутствует;Информация отсутствует;Информация отсутствует
81763;-;-;-;-
81763;-;-;-;-
81769;Отсутствует;Отсутствуют;Отсутствуют;Отсутствуют
81769;Отсутствует;Отсутствуют;Отсутствуют;Отсутствуют
81785;-;-;-;-
81785;-;-;-;-
81898;Отсутствуют;Отсутствуют;Отсутствуют;Отсутствуют
81898;Отсутствуют;Отсутствуют;Отсутствуют;Отсутствуют
81912;-;-;-;-
81912;-;-;-;-
81934;Отсутствуют;-;-;-
81934;Отсутствуют;-;-;-
81945;Отсутствуют;-;-;-
81945;Отсутствуют;-;-;-
81962;Отсутствуют;-;-;-
81962;Отсутствуют;-;-;-
82002;Отсутствуют;-;-;-
82002;Отсутствуют;-;-;-
82017;-;-;-;-
82017;-;-;-;-
82032;-;-;-;-
82032;-;-;-;-
82046;Отсутствует.;Отсутствует.;Отсутствует.;Отсутствует.
82046;Отсутствует.;Отсутствует.;Отсутствует.;Отсутствует.
82089;отсутствуют;отсутствуют;отсутствуют;отсутствуют
82089;отсутствуют;отсутствуют;отсутствуют;отсутствуют
