field name,english description,russian description,measure,okei_code,format
regulation_project_id,,Идентификатор проекта на regulation.gov.ru,,,string
Цели предлагаемого регулирования,,"Из раздела сводного отчета «Индикативные показатели, программы мониторинга и иные способы (методы) оценки достижения заявленных целей регулирования»",,,string
Индикативные показатели,,"Из раздела сводного отчета «Индикативные показатели, программы мониторинга и иные способы (методы) оценки достижения заявленных целей регулирования»",,,string
Единицы измерения индикативных показателей,,"Из раздела сводного отчета «Индикативные показатели, программы мониторинга и иные способы (методы) оценки достижения заявленных целей регулирования»",,,string
Способы расчета индикативных показателей,,"Из раздела сводного отчета «Индикативные показатели, программы мониторинга и иные способы (методы) оценки достижения заявленных целей регулирования»",,,string
