field name,english description,russian description,measure,okei_code,format
regulation_project_id,,Идентификатор проекта на regulation.gov.ru,,,string
"Срок, в течение которого разработчиком принимались предложения в связи проведением публичного обсуждения проекта акта",,"Из раздела сводного отчета «Из раздела сводного отчета «Иные сведения, которые, по мнению разработчика, позволяют оценить обоснованность предлагаемого регулирования»»",,,string
