field name,english description,russian description,measure,okei_code,format
regulation_project_id,,Идентификатор проекта на regulation.gov.ru,,,string
"Срок, в течение которого разработчиком принимались предложения в связи с размещением уведомления о подготовке проекта акта",,"Из раздела сводного отчета «Сведения о размещении уведомления, сроках предоставления предложений в связи с таким размещением, лицах, предоставивших предложения, и рассмотревших их структурных подразделениях разработчика»",,,string
