field name,english description,russian description,measure,okei_code,format
regulation_project_id,,Идентификатор проекта на regulation.gov.ru,,,string
Цели предлагаемого регулирования,,"Из раздела сводного отчета «Цели предлагаемого регулирования и их соответствие принципам правового регулирования, программным документам Президента Российской Федерации и Правительства Российской Федерации»",,,string
Установленные сроки достижения целей предлагаемого регулирования,,"Из раздела сводного отчета «Цели предлагаемого регулирования и их соответствие принципам правового регулирования, программным документам Президента Российской Федерации и Правительства Российской Федерации»",,,string
