field name,english description,russian description,measure,okei_code,format
regulation_project_id,,Идентификатор проекта на regulation.gov.ru,,,string
Риски решения проблемы предложенным способом и риски негативных последствий,,"Из раздела сводного отчета «Риски решения проблемы предложенным способом регулирования и риски негативных последствий, а также описание методов контроля эффективности избранного способа достижения целей ",,,string
Оценки вероятности наступления рисков,,"Из раздела сводного отчета «Риски решения проблемы предложенным способом регулирования и риски негативных последствий, а также описание методов контроля эффективности избранного способа достижения целей ",,,string
Методы контроля эффективности избранного способа достижения целей регулирования,,"Из раздела сводного отчета «Риски решения проблемы предложенным способом регулирования и риски негативных последствий, а также описание методов контроля эффективности избранного способа достижения целей ",,,string
Степень контроля рисков,,"Из раздела сводного отчета «Риски решения проблемы предложенным способом регулирования и риски негативных последствий, а также описание методов контроля эффективности избранного способа достижения целей ",,,string
