field name,english description,russian description,measure,okei_code,format
regulation_project_id,,Идентификатор проекта на regulation.gov.ru,,,string
"Описание отменяемых обязанностей, запретов или ограничений",,"Из раздела сводного отчета «Информация об отмене обязанностей, запретов или ограничений для субъектов предпринимательской и инвестиционной деятельности»",,,string
"Описание и оценка затрат на выполнение отменяемых обязанностей, запретов или ограничений",,"Из раздела сводного отчета «Информация об отмене обязанностей, запретов или ограничений для субъектов предпринимательской и инвестиционной деятельности»",,,string
