field name,english description,russian description,measure,okei_code,format
regulation_project_id,,Идентификатор проекта на regulation.gov.ru,,,string
Прогноз количественной динамики структуры регулируемых субъектов по категориям при введении предлагаемого регулирования,,Из раздела сводного отчета «Анализ влияния социально-экономических последствий реализации проекта акта на деятельность субъектов малого и среднего предпринимательства»,,,string
Микропредприятия,,Из раздела сводного отчета «Анализ влияния социально-экономических последствий реализации проекта акта на деятельность субъектов малого и среднего предпринимательства»,,,string
Малыепредприятия,,Из раздела сводного отчета «Анализ влияния социально-экономических последствий реализации проекта акта на деятельность субъектов малого и среднего предпринимательства»,,,string
Средниепредприятия,,Из раздела сводного отчета «Анализ влияния социально-экономических последствий реализации проекта акта на деятельность субъектов малого и среднего предпринимательства»,,,string
