field name,english description,russian description,measure,okei_code,format
description: Описание предлагаемого способа решения проблемы и преодоления связанных с ней негативных эффектов,,Из раздела сводного отчета «Описание предлагаемого регулирования и иных возможных способов решения проблемы»,,,string
"description: Описание иных способов решения проблемы (с указанием того, каким образом каждым из способов могла бы быть решена проблема)",,Из раздела сводного отчета «Описание предлагаемого регулирования и иных возможных способов решения проблемы»,,,string
description: Обоснование выбора предлагаемого способа решения проблемы,,Из раздела сводного отчета «Описание предлагаемого регулирования и иных возможных способов решения проблемы»,,,string
description: Иная информация о предлагаемом способе решения проблемы,,Из раздела сводного отчета «Описание предлагаемого регулирования и иных возможных способов решения проблемы»,,,string
groups: Источники данных,,"Из раздела сводного отчета «Основные группы субъектов предпринимательской и иной экономической деятельности, иные заинтересованные лица, включая органы государственной власти, интересы которых будут затронуты предлагаемым правовым регулированием, оценка количества таких субъектов»",,,string
expenses: Итого единовременные расходы,,Из раздела сводного отчета «Оценка соответствующих расходов (возможных поступлений) бюджетов бюджетной системы Российской Федерации»,,,string
expenses: Итого периодические расходы за год,,Из раздела сводного отчета «Оценка соответствующих расходов (возможных поступлений) бюджетов бюджетной системы Российской Федерации»,,,string
expenses: Итого возможные поступления за год,,Из раздела сводного отчета «Оценка соответствующих расходов (возможных поступлений) бюджетов бюджетной системы Российской Федерации»,,,string
expenses: Иные сведения о расходах (возможных поступлениях) бюджетов бюджетной системы Российской Федерации,,Из раздела сводного отчета «Оценка соответствующих расходов (возможных поступлений) бюджетов бюджетной системы Российской Федерации»,,,string
expenses: Источники данных,,Из раздела сводного отчета «Оценка соответствующих расходов (возможных поступлений) бюджетов бюджетной системы Российской Федерации»,,,string
group_expenses: Источники данных,,"Из раздела сводного отчета «​​Оценка расходов и доходов субъектов предпринимательской и иной экономической деятельности, связанных с необходимостью соблюдения установленных обязанностей или ограничений либо изменением содержания таких обязанностей и ограничений»",,,string
risks: Источники данных,,"Из раздела сводного отчета «Риски решения проблемы предложенным способом регулирования и риски негативных последствий, а также описание методов контроля эффективности избранного способа достижения целей регулирования»",,,string
business: Источники данных (оценка структуры),,Из раздела сводного отчета «Анализ влияния социально-экономических последствий реализации проекта акта на деятельность субъектов малого и среднего предпринимательства»,,,string
business: Оценка влияния проекта акта на достижение целевых ориентиров Стратегии развития малого и среднего предпринимательства в Российской Федерации,,Из раздела сводного отчета «Анализ влияния социально-экономических последствий реализации проекта акта на деятельность субъектов малого и среднего предпринимательства»,,,string
business: Итого единовременные издержки (содержательные и информационные),,Из раздела сводного отчета «Анализ влияния социально-экономических последствий реализации проекта акта на деятельность субъектов малого и среднего предпринимательства»,,,string
business: Итого периодические издержки (содержательные и информационные),,Из раздела сводного отчета «Анализ влияния социально-экономических последствий реализации проекта акта на деятельность субъектов малого и среднего предпринимательства»,,,string
business: Итого единовременные преимущества и (или) иные выгоды,,Из раздела сводного отчета «Анализ влияния социально-экономических последствий реализации проекта акта на деятельность субъектов малого и среднего предпринимательства»,,,string
business: Итого периодические преимущества и (или) иные выгоды,,Из раздела сводного отчета «Анализ влияния социально-экономических последствий реализации проекта акта на деятельность субъектов малого и среднего предпринимательства»,,,string
business: Источники данных (оценка влияния),,Из раздела сводного отчета «Анализ влияния социально-экономических последствий реализации проекта акта на деятельность субъектов малого и среднего предпринимательства»,,,string
"business: Нормативно-правовые меры, предпринятые для сокращения диспропорций в нагрузке",,Из раздела сводного отчета «Анализ влияния социально-экономических последствий реализации проекта акта на деятельность субъектов малого и среднего предпринимательства»,,,string
"business: Организационные меры, предпринятые для сокращения диспропорций в нагрузке",,Из раздела сводного отчета «Анализ влияния социально-экономических последствий реализации проекта акта на деятельность субъектов малого и среднего предпринимательства»,,,string
"necessary_measures: Общий объем затрат на необходимые для достижения заявленных целей регулирования организационно-технические, методологические, информационные и иные мероприятия (млн. руб.)",,"Из раздела сводного отчета « Необходимые для достижения заявленных целей регулирования организационно-технические, методологические, информационные и иные мероприятия»",,,string
kpi: Информация о программах мониторинга и иных способах (методах) оценки достижения заявленных целей регулирования,,"Из раздела сводного отчета «Индикативные показатели, программы мониторинга и иные способы (методы) оценки достижения заявленных целей регулирования»",,,string
"kpi: Оценка затрат на осуществление мониторинга (в среднем в год, млн. руб.)",,"Из раздела сводного отчета «Индикативные показатели, программы мониторинга и иные способы (методы) оценки достижения заявленных целей регулирования»",,,string
kpi: Описание источников информации для расчета показателей (индикаторов),,"Из раздела сводного отчета «Индикативные показатели, программы мониторинга и иные способы (методы) оценки достижения заявленных целей регулирования»",,,string
notification_info: Полный электронный адрес размещения уведомления в информационно-телекоммуникационной сети «Интернет»,,"Из раздела сводного отчета «Сведения о размещении уведомления, сроках предоставления предложений в связи с таким размещением, лицах, предоставивших предложения, и рассмотревших их структурных подразделениях разработчика»",,,string
"notification_info: Сведения о лицах, предоставивших предложения",,"Из раздела сводного отчета «Сведения о размещении уведомления, сроках предоставления предложений в связи с таким размещением, лицах, предоставивших предложения, и рассмотревших их структурных подразделениях разработчика»",,,string
"notification_info: Сведения о структурных подразделениях разработчика, рассмотревших предоставленные предложения",,"Из раздела сводного отчета «Сведения о размещении уведомления, сроках предоставления предложений в связи с таким размещением, лицах, предоставивших предложения, и рассмотревших их структурных подразделениях разработчика»",,,string
notification_info: Иные сведения о размещении уведомления,,"Из раздела сводного отчета «Сведения о размещении уведомления, сроках предоставления предложений в связи с таким размещением, лицах, предоставивших предложения, и рассмотревших их структурных подразделениях разработчика»",,,string
anticorr_expertise: Указать (при наличии) количество поступивших заключений от независимых экспертов (шт.),,"Из раздела сводного отчета «Сведения о размещении уведомления, сроках предоставления предложений в связи с таким размещением, лицах, предоставивших предложения, и рассмотревших их структурных подразделениях разработчика»",,,string
anticorr_expertise: Выявленные коррупциогенные факторы и их способы устранения,,Из раздела сводного отчета «Сведения о проведении независимой антикоррупционной экспертизы проекта акта»,,,string
"other_notification_info: Иные необходимые, по мнению разработчика, сведения",,"Из раздела сводного отчета «Иные сведения, которые, по мнению разработчика, позволяют оценить обоснованность предлагаемого регулирования»",,,string
other_notification_info: Источники данных,,"Из раздела сводного отчета «Иные сведения, которые, по мнению разработчика, позволяют оценить обоснованность предлагаемого регулирования»",,,string
public_discussion: Полный электронный адрес размещения проекта акта в информационно-телекоммуникационной сети «Интернет»,,"Из раздела сводного отчета «Из раздела сводного отчета «Иные сведения, которые, по мнению разработчика, позволяют оценить обоснованность предлагаемого регулирования»»",,,string
"public_discussion: Сведения о федеральных органах исполнительной власти и представителях предпринимательского сообщества, извещенных о проведении публичных консультаций",,"Из раздела сводного отчета «Из раздела сводного отчета «Иные сведения, которые, по мнению разработчика, позволяют оценить обоснованность предлагаемого регулирования»»",,,string
"public_discussion: Сведения о лицах, представивших предложения",,"Из раздела сводного отчета «Из раздела сводного отчета «Иные сведения, которые, по мнению разработчика, позволяют оценить обоснованность предлагаемого регулирования»»",,,string
"public_discussion: Сведения о структурных подразделениях разработчика, рассмотревших предоставленные предложения",,"Из раздела сводного отчета «Из раздела сводного отчета «Иные сведения, которые, по мнению разработчика, позволяют оценить обоснованность предлагаемого регулирования»»",,,string
public_discussion: Иные сведения о проведении публичного обсуждения проекта акта,,"Из раздела сводного отчета «Из раздела сводного отчета «Иные сведения, которые, по мнению разработчика, позволяют оценить обоснованность предлагаемого регулирования»»",,,string
"cancel_duties: Нормативный правовой акт, в котором содержатся отменяемые обязанности, запреты или ограничения",,"Из раздела сводного отчета «Информация об отмене обязанностей, запретов или ограничений для субъектов предпринимательской и инвестиционной деятельности»",,,string
