field name,english description,russian description,measure,okei_code,format
regulation_project_id,,Идентификатор проекта на regulation.gov.ru,,,
header: id,,"Идентификатор проекта, присвоенный системой автоматически (каким он указан в сводном отчете)",,,string
general_info: Федеральный орган исполнительной власти (далее – разработчик),,Из раздела сводного отчета «Общая информация»,,,string
general_info: Сведения о федеральных органах исполнительной власти – соисполнителях,,Из раздела сводного отчета «Общая информация»,,,string
general_info: Вид и наименование проекта акта,,Из раздела сводного отчета «Общая информация»,,,string
"general_info: Краткое описание проблемы, на решение которой направлен предлагаемый способ регулирования",,Из раздела сводного отчета «Общая информация»,,,string
general_info: Основание для разработки проекта акта,,Из раздела сводного отчета «Общая информация»,,,string
general_info: Краткое описание целей предлагаемого регулирования,,Из раздела сводного отчета «Общая информация»,,,string
general_info: Краткое описание предлагаемого способа регулирования,,Из раздела сводного отчета «Общая информация»,,,string
general_info: Контактная информация исполнителя разработчика,,Из раздела сводного отчета «Общая информация»,,,string
degree: Степень регулирующего воздействия проекта акта,,Из раздела сводного отчета «Степень регулирующего воздействия проекта акта»,,,string
degree: Обоснование отнесения проекта акта к определенной степени регулирующего воздействия,,Из раздела сводного отчета «Степень регулирующего воздействия проекта акта»,,,string
"problem: Описание проблемы, на решение которой направлен предлагаемый способ регулирования, условий и факторов ее существования",,"Из раздела сводного отчета «Описание проблемы, на решение которой направлен предлагаемый способ регулирования, оценка негативных эффектов, возникающих в связи с наличием рассматриваемой проблемы»",,,string
"problem: Негативные эффекты, возникающие в связи с наличием проблемы",,"Из раздела сводного отчета «Описание проблемы, на решение которой направлен предлагаемый способ регулирования, оценка негативных эффектов, возникающих в связи с наличием рассматриваемой проблемы»",,,string
"problem: Информация о возникновении, выявлении проблемы, принятых мерах, направленных на ее решение, а также затраченных ресурсах и достигнутых результатах решения проблемы",,"Из раздела сводного отчета «Описание проблемы, на решение которой направлен предлагаемый способ регулирования, оценка негативных эффектов, возникающих в связи с наличием рассматриваемой проблемы»",,,string
"problem: Описание условий, при которых проблема может быть решена в целом без вмешательства со стороны государства",,"Из раздела сводного отчета «Описание проблемы, на решение которой направлен предлагаемый способ регулирования, оценка негативных эффектов, возникающих в связи с наличием рассматриваемой проблемы»",,,string
problem: Источники данных,,"Из раздела сводного отчета «Описание проблемы, на решение которой направлен предлагаемый способ регулирования, оценка негативных эффектов, возникающих в связи с наличием рассматриваемой проблемы»",,,string
problem: Иная информация о проблеме,,"Из раздела сводного отчета «Описание проблемы, на решение которой направлен предлагаемый способ регулирования, оценка негативных эффектов, возникающих в связи с наличием рассматриваемой проблемы»",,,string
int_exp: Международный опыт в соответствующих сферах деятельности,,Из раздела сводного отчета «Анализ международного опыта в соответствующих сферах деятельности»,,,string
int_exp: Источники данных,,Из раздела сводного отчета «Анализ международного опыта в соответствующих сферах деятельности»,,,string
"goals: Обоснование соответствия целей предлагаемого регулирования принципам правового регулирования, программным документам Президента Российской Федерации и Правительства Российской Федерации",,"Из раздела сводного отчета «Цели предлагаемого регулирования и их соответствие принципам правового регулирования, программным документам Президента Российской Федерации и Правительства Российской Федерации»",,,string
goals: Иная информация о целях предлагаемого регулирования,,"Из раздела сводного отчета «Цели предлагаемого регулирования и их соответствие принципам правового регулирования, программным документам Президента Российской Федерации и Правительства Российской Федерации»",,,string
