field name,english description,russian description,measure,okei_code,format
regulation_project_id,,Идентификатор проекта на regulation.gov.ru,,,string
"Мероприятия, необходимые для достижения целей регулирования",,"Из раздела сводного отчета «Необходимые для достижения заявленных целей регулирования организационно-технические, методологические, информационные и иные мероприятия»",,,string
Сроки мероприятий,,"Из раздела сводного отчета «Необходимые для достижения заявленных целей регулирования организационно-технические, методологические, информационные и иные мероприятия»",,,string
Описание ожидаемого результата,,"Из раздела сводного отчета «Необходимые для достижения заявленных целей регулирования организационно-технические, методологические, информационные и иные мероприятия»",,,string
Объем финансирования,,"Из раздела сводного отчета «Необходимые для достижения заявленных целей регулирования организационно-технические, методологические, информационные и иные мероприятия»",,,string
Источники финансирования,,"Из раздела сводного отчета «Необходимые для достижения заявленных целей регулирования организационно-технические, методологические, информационные и иные мероприятия»",,,string
