field name,english description,russian description,measure,okei_code,format
regulation_project_id,,Идентификатор проекта на regulation.gov.ru,,,string
Группа участников отношений,,"Из раздела сводного отчета «Основные группы субъектов предпринимательской и иной экономической деятельности, иные заинтересованные лица, включая органы государственной власти, интересы которых будут затронуты предлагаемым правовым регулированием, оценка количества таких субъектов»",,,string
Оценка количества участников отношений,,"Из раздела сводного отчета «Основные группы субъектов предпринимательской и иной экономической деятельности, иные заинтересованные лица, включая органы государственной власти, интересы которых будут затронуты предлагаемым правовым регулированием, оценка количества таких субъектов»",,,string
